SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;OPERATION_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S002;2;32.0;229.07;7.56;0;0;0;-8;03:04;50.08;0.0;0.5;50.58;65.08333333333333;4;11.0:10.0;7;9.0:55.0;BERÇO ARM 37;AUTORIDADE_PONTA;BERÇO ARM 37;3;02:40;3;03:40;3;03:40;5;20:45;5;20:45;5;21:25
S002;13;33.0;209.75;11.0;0;0;0;-8;11:24;0.0;0.75;0.0;0.75;15.5;1;21.0:0.0;2;18.0:5.0;BERÇO TECON 1.2;SANTOSBR;BERÇO TECON 1.2;1;00:50;1;01:40;1;01:40;1;17:10;1;17:20;1;18:30
S002;35;32.0;225.0;9.0;0;0;0;-6;03:00;0.0;0.0;0.5;0.5;145.25;1;21.0:0.0;8;17.0:50.0;BERÇO DPW 4;DPW CELULOSE;BERÇO DPW 3;1;00:35;1;02:05;1;02:05;7;03:20;;;;;;
S002;71;28.0;179.99;8.0;0;0;0;-3;22:48;2.75;18.5;0.0;21.25;72.91666666666667;1;18.0:5.0;5;18.0:18.0;BERÇO Ageo I;AGEO_NORTE;BERÇO Ageo I;1;21:20;1;23:00;1;23:00;4;23:55;4;22:25;4;23:45
S002;77;33.0;199.9;7.5;0;0;0;-3;16:30;0.0;0.0;4.17;4.17;95.66666666666667;1;7.0:40.0;5;23.0:42.0;BERÇO VAL;AUTORIDADE_SABOO;BERÇO CS 04;1;04:15;1;05:55;1;05:55;5;05:35;5;04:05;5;05:25
S002;78;33.0;180.4;10.28;0;0;0;-3;13:00;0.0;0.0;0.17;0.17;159.0;1;18.0:20.0;8;13.0:30.0;BERÇO ARM 30;BRACELL;BERÇO ARM 35P1;1;00:15;1;01:00;1;01:00;7;16:00;;;;;;
S002;80;32.0;263.23;10.1;0;0;0;-3;13:30;23.92;11.42;0.0;35.33;9.5;3;12.0:31.0;4;6.0:33.0;BERÇO DPW 1;DPW;BERÇO DPW 1;2;11:25;2;13:00;2;13:00;2;22:30;2;22:30;2;23:45
S002;90;32.3;189.99;6.19;0;0;0;-3;07:00;0.0;0.0;0.0;0.0;61.5;2;4.0:42.0;5;3.0:14.0;BERÇO TIPLAM 3;TIPLAM;BERÇO TIPLAM 2;1;00:00;1;02:25;1;02:25;3;15:55;3;14:25;3;16:20
S002;99;37.0;227.92;9.9;0;0;0;-2;12:30;0.0;10.83;0.0;10.83;4.833333333333333;1;3.0:40.0;1;18.0:10.0;BERÇO TECON 1.2;SANTOSBR;BERÇO TECON 2;1;10:55;1;12:05;1;12:05;1;16:55;1;17:50;1;18:40
S002;101;32.0;189.99;6.25;0;0;0;-1;10:06;28.92;15.67;0.0;44.58;31.583333333333332;3;14.0:50.0;5;9.0:15.0;BERÇO ARM 20/21;AUTORIDADE_OUT;BERÇO ARM 20/21;2;20:40;2;22:00;2;22:00;4;05:35;4;04:05;4;05:05
S002;104;48.0;328.46;14.5;1;0;0;-1;05:06;0.0;0.0;0.25;0.25;26.583333333333332;1;2.0:40.0;2;9.0:45.0;BERÇO BTP 3;BTP;BERÇO BTP 3;1;00:20;1;01:50;1;01:50;2;04:25;2;04:25;2;06:15
S002;108;45.86;334.8;13.9;0;0;0;-1;23:36;0.0;13.83;0.0;13.83;33.583333333333336;1;15.0:7.0;3;4.0:14.0;BERÇO DPW 2;DPW;BERÇO DPW 2;1;13:55;1;15:10;1;15:10;3;00:45;3;02:45;3;04:20
S002;111;28.0;179.99;9.33;0;0;0;-1;09:00;0.0;0.0;0.08;0.08;167.5;1;21.0:10.0;8;23.0:40.0;BERÇO CS 03;OUTROS_SABOO;BERÇO CS 03;1;00:10;1;01:30;1;01:30;8;01:00;;;;;;
S002;118;45.0;299.9;10.1;0;0;0;0;20:54;0.0;0.0;0.0;0.0;15.583333333333334;2;13.0:20.0;3;8.0:57.0;BERÇO BTP 3;BTP;BERÇO BTP 1;1;00:05;1;01:30;1;01:30;1;17:05;1;17:35;1;19:20
S002;121;46.0;334.8;10.1;0;0;0;0;19:12;46.42;1.33;5.08;52.83;30.416666666666668;4;10.0:0.0;5;19.0:10.0;BERÇO DPW 1;DPW;BERÇO DPW 2;3;04:55;3;06:30;3;06:30;4;12:55;4;13:05;4;14:20
