SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;METOCEAN_UNDOCK_QUEUE_TIME;CHANNEL_UNDOCK_QUEUE_TIME;TOTAL_UNDOCK_QUEUE_TIME;OPERATION_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S012;1;32.0;229.07;7.56;0;0;0;-8;03:04;261.17;0.0;0.92;262.08;0.0;0.0;0.0;65.08333333333333;4;11:10;7;09:55;BERÇO ARM 37;AUTORIDADE_PONTA;BERÇO ARM 37;3;01:10;3;02:10;3;02:10;5;19:15;5;19:15;5;19:55
S012;6;33.0;209.75;11.0;0;0;0;-8;11:24;206.25;13.67;0.0;219.92;0.0;0.0;0.0;17.083333333333332;1;21:00;2;18:05;BERÇO TECON 1.2;SANTOSBR;BERÇO TECON 1.2;1;15:20;1;16:10;1;16:10;2;09:15;2;09:15;2;10:25
S012;16;32.0;189.99;12.74;0;0;0;-7;03:18;380.67;0.0;0.08;380.75;0.17;1.75;1.92;135.08333333333334;10;13:42;16;07:23;BERÇO TERMAG;TERMAG;BERÇO TERMAG;9;00:05;9;00:50;9;00:50;14;15:55;14;17:50;14;18:55
S012;19;28.0;179.99;7.5;0;0;0;-7;09:00;452.5;0.0;0.5;453.0;0.0;0.67;0.67;58.416666666666664;13;09:35;16;00:25;BERÇO ARM 23;OUTROS_OUT;BERÇO ARM 23;12;06:00;12;06:55;12;06:55;14;17:20;14;18:00;14;19:15
S012;29;32.0;225.0;9.0;0;0;0;-6;03:00;165.0;0.0;0.5;165.5;5.08;0.67;5.75;163.91666666666666;1;21:00;8;17:50;BERÇO DPW 4;DPW - CGNC;BERÇO DPW 3;1;00:30;1;02:00;1;02:00;7;21:55;8;03:40;8;04:50
S012;73;32.3;189.99;6.19;0;0;0;-3;07:00;89.0;0.0;0.33;89.33;0.42;1.75;2.17;64.58333333333333;2;04:42;5;03:14;BERÇO TIPLAM 3;TIPLAM - GSA - E;BERÇO TIPLAM 2;1;00:20;1;02:45;1;02:45;3;19:20;3;21:30;3;23:25
S012;81;33.0;180.4;10.28;0;0;0;-3;13:00;83.0;0.0;0.17;83.17;0.0;0.0;0.0;159.66666666666666;1;18:20;8;13:30;BERÇO ARM 30;BRACELL;BERÇO ARM 35P2;1;00:10;1;01:00;1;01:00;7;16:40;7;16:40;7;17:50
S012;83;32.0;263.23;10.1;0;0;0;-3;13:30;105.17;1.33;11.42;117.92;0.0;0.17;0.17;10.583333333333334;3;12:31;4;06:33;BERÇO DPW 1;DPW - CGC;BERÇO DPW 1;2;11:25;2;12:40;2;12:40;2;23:15;2;23:25;3;01:00
S012;85;33.0;199.9;7.5;0;0;0;-3;16:30;79.5;0.0;4.25;83.75;0.0;0.0;0.0;101.66666666666667;1;07:40;5;23:42;BERÇO VAL;AUTORIDADE_SABOO;BERÇO CS 04;1;04:15;1;05:55;1;05:55;5;11:35;5;11:35;5;12:55
S012;90;28.0;179.99;8.0;0;0;0;-3;22:48;74.83;15.5;0.0;90.33;0.0;0.0;0.0;72.91666666666667;1;18:05;5;18:18;BERÇO Ageo I;AGEO_TERMINAIS;BERÇO Ageo I;1;17:10;1;18:50;1;18:50;4;19:45;4;19:45;4;21:05
S012;91;29.0;175.53;9.94;0;0;0;-2;01:00;191.0;0.0;0.0;191.0;0.0;0.33;0.33;161.16666666666666;7;19:25;14;15:35;BERÇO TIPLAM 1;TIPLAM - GSM - I;BERÇO TIPLAM 2;6;00:00;6;01:55;6;01:55;12;19:05;12;19:25;12;21:50
S012;96;37.0;227.92;9.9;0;0;0;-2;12:30;59.5;7.0;0.0;66.5;0.83;0.58;1.42;6.333333333333333;1;03:40;1;18:10;BERÇO TECON 1.2;SANTOSBR;BERÇO TECON 1.2;1;07:00;1;08:10;1;08:10;1;14:30;1;15:55;1;16:45
S012;100;43.0;346.98;9.8;1;0;0;-2;23:06;56.83;3.17;0.0;60.0;0.0;0.0;0.0;10.583333333333334;1;15:10;2;08:39;BERÇO TECON 2;SANTOSBR;BERÇO TECON 2;1;11:10;1;12:05;1;12:05;1;22:40;1;22:40;1;23:55
S012;103;48.0;328.46;14.5;0;0;0;-1;05:06;42.83;0.0;0.42;43.25;0.0;0.0;0.0;29.666666666666668;1;02:40;2;09:45;BERÇO BTP 3;BTP;BERÇO BTP 1;1;00:25;1;01:50;1;01:50;2;07:30;2;07:30;2;09:15
