SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;TERMINAL;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S002;1;18.0;116.9;4.8;0;0;0;1;20:20;0.08;0.0;0.67;0.75;AGEO_NORTE;BERÇO Ageo I;1;21:05;1;22:25;1;22:25;2;19:06;2;19:10;2;20:10
S002;2;32.0;229.07;7.56;0;0;0;1;03:04;0.0;0.0;0.02;0.02;AUTORIDADE_PONTA;BERÇO ARM 37;1;03:05;1;04:05;1;04:05;3;21:10;3;21:10;3;21:50
S002;3;40.0;304.16;11.0;0;0;0;1;20:18;0.08;0.0;0.28;0.37;BTP;BERÇO BTP 1;1;20:40;1;21:45;1;21:45;2;06:09;2;06:10;2;07:35
S002;4;23.0;164.34;7.8;0;0;0;1;08:00;0.08;0.0;0.0;0.08;DOW;BERÇO DOW;1;08:05;1;08:45;1;08:45;2;09:00;2;09:10;2;10:10
S002;5;40.0;299.99;9.8;0;0;0;1;19:30;0.08;0.0;0.33;0.42;DPW;BERÇO DPW 2;1;19:55;1;20:50;1;20:50;3;10:15;3;12:25;3;13:40
S002;6;43.0;270.93;11.3;0;0;0;1;09:18;0.08;0.0;0.28;0.37;DPW;BERÇO DPW 1;1;09:40;1;10:35;1;10:35;2;16:40;2;16:40;2;17:55
S002;7;34.0;201.9;7.99;0;0;0;1;06:00;0.08;0.0;0.25;0.33;DPW CELULOSE;BERÇO DPW 4;1;06:20;1;07:35;1;07:35;4;04:13;4;04:15;4;05:10
S002;8;34.0;201.9;8.15;0;0;0;1;21:30;0.08;0.0;0.25;0.33;DPW CELULOSE;BERÇO DPW 3;1;21:50;1;23:05;1;23:05;3;23:17;4;01:40;4;02:35
S002;9;18.0;85.34;4.2;0;0;0;1;18:05;0.08;0.0;0.0;0.08;SAIPEM;BERÇO SAIPEM 2;1;18:10;1;19:00;1;19:00;4;17:25;4;17:25;4;17:55
S002;10;40.0;272.08;10.6;0;0;0;1;06:30;0.08;0.0;0.17;0.25;SANTOSBR;BERÇO TECON 2;1;06:45;1;07:30;1;07:30;2;02:29;2;02:30;2;03:35
S002;11;42.0;334.07;12.0;0;0;0;1;15:53;0.08;0.0;0.03;0.12;SANTOSBR;BERÇO TECON 3;1;16:00;1;16:45;1;16:45;2;07:55;2;08:10;2;09:15
S002;12;25.0;182.47;8.2;0;0;0;1;16:45;0.08;0.0;0.08;0.17;SANTOSBR;BERÇO TECON 1.2;1;16:55;1;17:40;1;17:40;2;13:36;2;13:40;2;14:45
S002;13;33.0;209.75;11.0;0;0;0;1;11:24;0.08;0.0;0.02;0.1;SANTOSBR;BERÇO TECON 1.1;1;11:30;1;12:15;1;12:15;2;03:41;2;03:50;2;04:55
S002;14;32.0;189.99;5.6;0;0;0;2;03:18;0.08;0.0;0.78;0.87;AUTORIDADE_OUT;BERÇO ARM 20/21;2;04:10;2;05:25;2;05:25;3;15:25;3;15:25;3;16:20
S002;15;22.0;189.99;6.7;0;0;0;2;15:30;2.33;67.83;0.0;70.17;AUTORIDADE_OUT;BERÇO ARM 20/21;5;13:40;5;14:55;5;14:55;6;19:25;6;19:30;6;20:25
S002;16;32.0;199.9;6.6;0;0;0;2;14:00;0.83;26.0;0.0;26.83;AUTORIDADE_OUT;BERÇO ARM 20/21;3;16:50;3;18:05;3;18:05;5;12:32;5;12:40;5;13:35
S002;17;32.0;294.09;10.0;0;0;0;2;14:00;0.08;0.0;0.75;0.83;BTP;BERÇO BTP 3;2;14:50;2;15:55;2;15:55;3;06:40;3;07:40;3;09:05
