Day;MARKET_CATEGORY;arrivals;attended;saldo_dia;queue;SCENARIO_ID
1;CGC;10,0;10,0;0,0;0,0;ComDragagem20302
2;CGC;6,0;6,0;0,0;0,0;ComDragagem20302
3;CGC;12,0;6,0;6,0;6,0;ComDragagem20302
4;CGC;6,0;9,0;-3,0;3,0;ComDragagem20302
5;CGC;9,0;7,0;2,0;5,0;ComDragagem20302
6;CGC;9,0;8,0;1,0;6,0;ComDragagem20302
7;CGC;12,0;9,0;3,0;9,0;ComDragagem20302
8;CGC;9,0;8,0;1,0;10,0;ComDragagem20302
9;CGC;7,0;9,0;-2,0;8,0;ComDragagem20302
10;CGC;9,0;5,0;4,0;12,0;ComDragagem20302
11;CGC;7,0;8,0;-1,0;11,0;ComDragagem20302
12;CGC;8,0;11,0;-3,0;8,0;ComDragagem20302
13;CGC;9,0;7,0;2,0;10,0;ComDragagem20302
14;CGC;11,0;9,0;2,0;12,0;ComDragagem20302
15;CGC;11,0;9,0;2,0;14,0;ComDragagem20302
16;CGC;9,0;8,0;1,0;15,0;ComDragagem20302
17;CGC;10,0;10,0;0,0;15,0;ComDragagem20302
18;CGC;6,0;8,0;-2,0;13,0;ComDragagem20302
19;CGC;10,0;11,0;-1,0;12,0;ComDragagem20302
20;CGC;9,0;8,0;1,0;13,0;ComDragagem20302
21;CGC;10,0;9,0;1,0;14,0;ComDragagem20302
22;CGC;11,0;10,0;1,0;15,0;ComDragagem20302
23;CGC;5,0;9,0;-4,0;11,0;ComDragagem20302
24;CGC;11,0;6,0;5,0;16,0;ComDragagem20302
25;CGC;7,0;12,0;-5,0;11,0;ComDragagem20302
26;CGC;9,0;9,0;0,0;11,0;ComDragagem20302
27;CGC;11,0;10,0;1,0;12,0;ComDragagem20302
28;CGC;12,0;8,0;4,0;16,0;ComDragagem20302
29;CGC;9,0;8,0;1,0;17,0;ComDragagem20302
30;CGC;6,0;7,0;-1,0;16,0;ComDragagem20302
31;CGC;10,0;7,0;3,0;19,0;ComDragagem20302
32;CGC;8,0;11,0;-3,0;16,0;ComDragagem20302
33;CGC;4,0;7,0;-3,0;13,0;ComDragagem20302
34;CGC;8,0;8,0;0,0;13,0;ComDragagem20302
35;CGC;14,0;9,0;5,0;18,0;ComDragagem20302
36;CGC;7,0;10,0;-3,0;15,0;ComDragagem20302
37;CGC;10,0;8,0;2,0;17,0;ComDragagem20302
38;CGC;7,0;8,0;-1,0;16,0;ComDragagem20302
39;CGC;8,0;10,0;-2,0;14,0;ComDragagem20302
40;CGC;6,0;9,0;-3,0;11,0;ComDragagem20302
41;CGC;9,0;8,0;1,0;12,0;ComDragagem20302
42;CGC;13,0;9,0;4,0;16,0;ComDragagem20302
43;CGC;11,0;10,0;1,0;17,0;ComDragagem20302
44;CGC;8,0;8,0;0,0;17,0;ComDragagem20302
45;CGC;7,0;7,0;0,0;17,0;ComDragagem20302
46;CGC;8,0;8,0;0,0;17,0;ComDragagem20302
47;CGC;4,0;4,0;0,0;17,0;ComDragagem20302
48;CGC;8,0;1,0;7,0;24,0;ComDragagem20302
49;CGC;12,0;0,0;12,0;36,0;ComDragagem20302
50;CGC;7,0;11,0;-4,0;32,0;ComDragagem20302
51;CGC;9,0;11,0;-2,0;30,0;ComDragagem20302
52;CGC;7,0;8,0;-1,0;29,0;ComDragagem20302
53;CGC;6,0;11,0;-5,0;24,0;ComDragagem20302
54;CGC;4,0;8,0;-4,0;20,0;ComDragagem20302
55;CGC;9,0;11,0;-2,0;18,0;ComDragagem20302
56;CGC;15,0;9,0;6,0;24,0;ComDragagem20302
57;CGC;10,0;8,0;2,0;26,0;ComDragagem20302
58;CGC;9,0;9,0;0,0;26,0;ComDragagem20302
59;CGC;6,0;11,0;-5,0;21,0;ComDragagem20302
60;CGC;7,0;7,0;0,0;21,0;ComDragagem20302
61;CGC;4,0;9,0;-5,0;16,0;ComDragagem20302
62;CGC;6,0;9,0;-3,0;13,0;ComDragagem20302
63;CGC;7,0;6,0;1,0;14,0;ComDragagem20302
64;CGC;9,0;9,0;0,0;14,0;ComDragagem20302
65;CGC;11,0;6,0;5,0;19,0;ComDragagem20302
66;CGC;13,0;9,0;4,0;23,0;ComDragagem20302
67;CGC;11,0;12,0;-1,0;22,0;ComDragagem20302
68;CGC;6,0;8,0;-2,0;20,0;ComDragagem20302
69;CGC;6,0;9,0;-3,0;17,0;ComDragagem20302
70;CGC;5,0;9,0;-4,0;13,0;ComDragagem20302
71;CGC;11,0;8,0;3,0;16,0;ComDragagem20302
72;CGC;12,0;8,0;4,0;20,0;ComDragagem20302
73;CGC;11,0;5,0;6,0;26,0;ComDragagem20302
74;CGC;11,0;11,0;0,0;26,0;ComDragagem20302
75;CGC;5,0;11,0;-6,0;20,0;ComDragagem20302
76;CGC;4,0;7,0;-3,0;17,0;ComDragagem20302
77;CGC;6,0;9,0;-3,0;14,0;ComDragagem20302
78;CGC;10,0;10,0;0,0;14,0;ComDragagem20302
79;CGC;13,0;9,0;4,0;18,0;ComDragagem20302
80;CGC;12,0;6,0;6,0;24,0;ComDragagem20302
81;CGC;11,0;10,0;1,0;25,0;ComDragagem20302
82;CGC;5,0;9,0;-4,0;21,0;ComDragagem20302
83;CGC;6,0;7,0;-1,0;20,0;ComDragagem20302
84;CGC;6,0;7,0;-1,0;19,0;ComDragagem20302
85;CGC;9,0;11,0;-2,0;17,0;ComDragagem20302
86;CGC;12,0;9,0;3,0;20,0;ComDragagem20302
87;CGC;10,0;8,0;2,0;22,0;ComDragagem20302
88;CGC;10,0;11,0;-1,0;21,0;ComDragagem20302
89;CGC;5,0;10,0;-5,0;16,0;ComDragagem20302
90;CGC;6,0;9,0;-3,0;13,0;ComDragagem20302
91;CGC;4,0;0,0;4,0;17,0;ComDragagem20302
92;CGC;8,0;0,0;8,0;25,0;ComDragagem20302
