Day;arrivals;attended;saldo_dia;queue;SCENARIO_ID
1;28;27,0;1,0;1,0;ComDragagem20302
2;22;14,0;8,0;9,0;ComDragagem20302
3;22;12,0;10,0;19,0;ComDragagem20302
4;31;28,0;3,0;22,0;ComDragagem20302
5;30;19,0;11,0;33,0;ComDragagem20302
6;34;25,0;9,0;42,0;ComDragagem20302
7;30;21,0;9,0;51,0;ComDragagem20302
8;27;18,0;9,0;60,0;ComDragagem20302
9;25;20,0;5,0;65,0;ComDragagem20302
10;22;15,0;7,0;72,0;ComDragagem20302
11;29;25,0;4,0;76,0;ComDragagem20302
12;31;22,0;9,0;85,0;ComDragagem20302
13;31;20,0;11,0;96,0;ComDragagem20302
14;32;26,0;6,0;102,0;ComDragagem20302
15;29;17,0;12,0;114,0;ComDragagem20302
16;23;19,0;4,0;118,0;ComDragagem20302
17;24;24,0;0,0;118,0;ComDragagem20302
18;30;28,0;2,0;120,0;ComDragagem20302
19;29;20,0;9,0;129,0;ComDragagem20302
20;31;24,0;7,0;136,0;ComDragagem20302
21;33;24,0;9,0;145,0;ComDragagem20302
22;27;21,0;6,0;151,0;ComDragagem20302
23;23;22,0;1,0;152,0;ComDragagem20302
24;22;16,0;6,0;158,0;ComDragagem20302
25;30;25,0;5,0;163,0;ComDragagem20302
26;29;22,0;7,0;170,0;ComDragagem20302
27;31;21,0;10,0;180,0;ComDragagem20302
28;31;19,0;12,0;192,0;ComDragagem20302
29;27;24,0;3,0;195,0;ComDragagem20302
30;24;14,0;10,0;205,0;ComDragagem20302
31;21;19,0;2,0;207,0;ComDragagem20302
32;21;20,0;1,0;208,0;ComDragagem20302
33;14;20,0;-6,0;202,0;ComDragagem20302
34;21;20,0;1,0;203,0;ComDragagem20302
35;24;20,0;4,0;207,0;ComDragagem20302
36;22;20,0;2,0;209,0;ComDragagem20302
37;23;21,0;2,0;211,0;ComDragagem20302
38;17;21,0;-4,0;207,0;ComDragagem20302
39;23;18,0;5,0;212,0;ComDragagem20302
40;13;18,0;-5,0;207,0;ComDragagem20302
41;19;19,0;0,0;207,0;ComDragagem20302
42;24;24,0;0,0;207,0;ComDragagem20302
43;21;19,0;2,0;209,0;ComDragagem20302
44;23;15,0;8,0;217,0;ComDragagem20302
45;17;17,0;0,0;217,0;ComDragagem20302
46;22;17,0;5,0;222,0;ComDragagem20302
47;13;11,0;2,0;224,0;ComDragagem20302
48;19;2,0;17,0;241,0;ComDragagem20302
49;25;0,0;25,0;266,0;ComDragagem20302
50;21;40,0;-19,0;247,0;ComDragagem20302
51;23;16,0;7,0;254,0;ComDragagem20302
52;17;19,0;-2,0;252,0;ComDragagem20302
53;22;21,0;1,0;253,0;ComDragagem20302
54;13;17,0;-4,0;249,0;ComDragagem20302
55;21;25,0;-4,0;245,0;ComDragagem20302
56;23;19,0;4,0;249,0;ComDragagem20302
57;21;22,0;-1,0;248,0;ComDragagem20302
58;22;17,0;5,0;253,0;ComDragagem20302
59;17;19,0;-2,0;251,0;ComDragagem20302
60;21;18,0;3,0;254,0;ComDragagem20302
61;14;16,0;-2,0;252,0;ComDragagem20302
62;13;20,0;-7,0;245,0;ComDragagem20302
63;14;15,0;-1,0;244,0;ComDragagem20302
64;23;18,0;5,0;249,0;ComDragagem20302
65;23;14,0;9,0;258,0;ComDragagem20302
66;25;19,0;6,0;264,0;ComDragagem20302
67;27;27,0;0,0;264,0;ComDragagem20302
68;19;21,0;-2,0;262,0;ComDragagem20302
69;13;14,0;-1,0;261,0;ComDragagem20302
70;15;22,0;-7,0;254,0;ComDragagem20302
71;22;16,0;6,0;260,0;ComDragagem20302
72;24;20,0;4,0;264,0;ComDragagem20302
73;25;15,0;10,0;274,0;ComDragagem20302
74;27;26,0;1,0;275,0;ComDragagem20302
75;20;23,0;-3,0;272,0;ComDragagem20302
76;14;13,0;1,0;273,0;ComDragagem20302
77;15;22,0;-7,0;266,0;ComDragagem20302
78;22;18,0;4,0;270,0;ComDragagem20302
79;23;18,0;5,0;275,0;ComDragagem20302
80;25;20,0;5,0;280,0;ComDragagem20302
81;26;25,0;1,0;281,0;ComDragagem20302
82;19;19,0;0,0;281,0;ComDragagem20302
83;12;17,0;-5,0;276,0;ComDragagem20302
84;15;18,0;-3,0;273,0;ComDragagem20302
85;22;17,0;5,0;278,0;ComDragagem20302
86;24;22,0;2,0;280,0;ComDragagem20302
87;26;19,0;7,0;287,0;ComDragagem20302
88;27;27,0;0,0;287,0;ComDragagem20302
89;21;22,0;-1,0;286,0;ComDragagem20302
90;15;17,0;-2,0;284,0;ComDragagem20302
91;14;0,0;14,0;298,0;ComDragagem20302
92;21;0,0;21,0;319,0;ComDragagem20302
