SCENARIO_ID;ARRIVAL_ID;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;MARKET_CATEGORY
ComDragagem20302;3995;0.0;0.0;0.25;0.25;CGC
ComDragagem20302;3996;0.0;0.0;0.08;0.08;GL
ComDragagem20302;3997;0.0;0.0;0.17;0.17;CGC
ComDragagem20302;3998;7.17;0.0;0.25;7.42;CGC
ComDragagem20302;3999;0.42;0.0;0.5;0.92;CGC
ComDragagem20302;4000;0.0;0.0;0.0;0.0;GSA - I
ComDragagem20302;4001;0.17;0.0;4.83;5.0;GSA - E
ComDragagem20302;4002;0.17;0.0;5.5;5.67;GSA - E
ComDragagem20302;4003;0.0;0.0;0.5;0.5;GSA - E
ComDragagem20302;4004;0.0;0.0;0.33;0.33;CGC
ComDragagem20302;4005;0.0;0.0;2.5;2.5;CGC
ComDragagem20302;4006;0.0;0.0;0.33;0.33;CGC
ComDragagem20302;4007;0.0;0.0;1.0;1.0;CGNC
ComDragagem20302;4008;0.0;0.0;0.25;0.25;GSA - E
ComDragagem20302;4009;0.0;0.0;0.5;0.5;GSA - E
ComDragagem20302;4010;0.0;0.0;1.75;1.75;CGC
ComDragagem20302;4011;0.0;0.0;2.42;2.42;CGC
ComDragagem20302;4012;0.0;0.0;4.92;4.92;CGC
ComDragagem20302;4013;0.0;0.0;0.0;0.0;GL
ComDragagem20302;4014;0.0;0.0;0.25;0.25;GSA - E
ComDragagem20302;4015;0.0;0.0;1.75;1.75;RORO
ComDragagem20302;4016;1.33;24.5;3.0;28.83;RORO
ComDragagem20302;4017;0.0;0.0;1.83;1.83;GSA - E
ComDragagem20302;4018;0.0;0.0;0.83;0.83;GSA - E
ComDragagem20302;4019;0.0;0.0;0.08;0.08;GL
ComDragagem20302;4020;0.0;0.0;3.08;3.08;GL
ComDragagem20302;4021;0.0;0.0;0.0;0.0;GL
ComDragagem20302;4022;0.67;0.0;4.42;5.08;GSA - E
ComDragagem20302;4023;0.0;0.0;1.0;1.0;CGNC
ComDragagem20302;4024;0.0;0.0;0.25;0.25;CGNC
ComDragagem20302;4025;0.0;0.42;0.0;0.42;CGC
ComDragagem20302;4026;0.0;0.0;0.0;0.0;CGC
ComDragagem20302;4027;15.08;40.67;0.92;56.67;GSA - E
ComDragagem20302;4028;16.33;38.75;3.08;58.17;GSA - E
