berth_resource;TEMPO_OCUPADO;TEMPO_RESERVADO;VISITAS;SCENARIO_ID
BERÇO AL 01;1895,8199999999997;86,21;46;ComDragagem20302
BERÇO AL 02;1951,0800000000002;72,92;41;ComDragagem20302
BERÇO AL 03;1862,2000000000003;44,730000000000004;27;ComDragagem20302
BERÇO AL 04;1157,1200000000003;37,46;22;ComDragagem20302
BERÇO ARAUCO 1;1572,7600000000002;32,480000000000004;15;ComDragagem20302
BERÇO ARAUCO 2;1004,4;21,68;10;ComDragagem20302
BERÇO ARAUCO 3;941,2299999999998;19,52;9;ComDragagem20302
BERÇO ARM 12A;2011,76;40,5;27;ComDragagem20302
BERÇO ARM 13/14;2069,0899999999997;32,32;22;ComDragagem20302
BERÇO ARM 16/17;1986,3300000000004;60,0;40;ComDragagem20302
BERÇO ARM 19;1984,6399999999996;58,12;41;ComDragagem20302
BERÇO ARM 20/21;1993,7000000000003;53,8;38;ComDragagem20302
BERÇO ARM 22/23;1252,6700000000003;18,400000000000002;17;ComDragagem20302
BERÇO ARM 23;1226,0700000000002;16,0;16;ComDragagem20302
BERÇO ARM 29;1996,1599999999999;28,0;21;ComDragagem20302
BERÇO ARM 30;2098,4799999999996;14,100000000000001;15;ComDragagem20302
BERÇO ARM 31;2041,3899999999994;28,75;23;ComDragagem20302
BERÇO ARM 32;95,91000000000008;2,5;2;ComDragagem20302
BERÇO ARM 35P1;952,25;10,52;9;ComDragagem20302
BERÇO ARM 35P2;1119,9899999999998;13,75;11;ComDragagem20302
BERÇO ARM 37;2008,8000000000006;36,79;34;ComDragagem20302
BERÇO ARM 38;2066,0099999999998;19,490000000000002;18;ComDragagem20302
BERÇO ARM 39;1109,1599999999999;21,69;20;ComDragagem20302
BERÇO Ageo I;1419,6399999999999;37,69;24;ComDragagem20302
BERÇO BTP 1;1891,1599999999996;64,21000000000001;77;ComDragagem20302
BERÇO BTP 2;1889,3300000000008;56,85;79;ComDragagem20302
BERÇO BTP 3;1871,9;53,39;75;ComDragagem20302
BERÇO CUTRALE;1732,2500000000002;21,650000000000002;20;ComDragagem20302
BERÇO DOW;229,17000000000007;6,75;9;ComDragagem20302
BERÇO DPW 1;1988,88;24,09;81;ComDragagem20302
BERÇO DPW 2;1929,0099999999984;45,12;80;ComDragagem20302
BERÇO DPW 3;1686,0800000000004;129,87;82;ComDragagem20302
BERÇO DPW 4;1361,92;30,060000000000002;19;ComDragagem20302
BERÇO IB BC;1028,39;29,919999999999998;19;ComDragagem20302
BERÇO IB OE;264,23999999999995;7,76;5;ComDragagem20302
BERÇO IB SP;724,6700000000002;19,669999999999998;12;ComDragagem20302
BERÇO OUT 2;314,15999999999974;8,0;6;ComDragagem20302
BERÇO OUT 3;135,0;2,66;2;ComDragagem20302
BERÇO RUMO 1;1516,5699999999997;37,5;25;ComDragagem20302
BERÇO RUMO 2;1590,2500000000005;18,68;16;ComDragagem20302
BERÇO SAIPEM 1;898,7500000000003;14,64;16;ComDragagem20302
BERÇO SAIPEM 2;422,25;11,92;13;ComDragagem20302
BERÇO SAIPEM 3;224,25000000000014;4,59;5;ComDragagem20302
BERÇO TEAG;2040,8500000000001;25,68;22;ComDragagem20302
BERÇO TECON 1.1;1685,6100000000001;58,75;74;ComDragagem20302
BERÇO TECON 1.2;1537,6400000000006;55,0;68;ComDragagem20302
BERÇO TECON 2;1949,4;21,5;77;ComDragagem20302
BERÇO TECON 3;1908,4100000000003;25,0;73;ComDragagem20302
BERÇO TEG;1958,57;28,0;24;ComDragagem20302
BERÇO TERMAG;1896,3400000000004;16,66;20;ComDragagem20302
BERÇO TEV;1752,7199999999998;85,35000000000001;64;ComDragagem20302
BERÇO TGG;1721,7299999999996;43,15;37;ComDragagem20302
BERÇO TIPLAM 1;1613,3299999999995;48,74;21;ComDragagem20302
BERÇO TIPLAM 2;1987,06;74,42;29;ComDragagem20302
BERÇO TIPLAM 3;1969,27;74,92;29;ComDragagem20302
BERÇO TIPLAM 4;1709,6799999999998;35,38;17;ComDragagem20302
BERÇO TRSP;945,8899999999999;26,849999999999998;14;ComDragagem20302
BERÇO USIMINAS 1;763,74;16,6;7;ComDragagem20302
BERÇO USIMINAS 2;479,0699999999998;9,34;4;ComDragagem20302
BERÇO USIMINAS 3;97,75;2,42;1;ComDragagem20302
BERÇO VAL;659,3500000000001;52,5;30;ComDragagem20302
