SCENARIO_ID;N_VESSELS;MONTH;HOURS
ComDragagem20302;0;2025-08;79.25
ComDragagem20302;1;2025-08;149.58
ComDragagem20302;2;2025-08;191.92
ComDragagem20302;3;2025-08;149.42
ComDragagem20302;4;2025-08;99.42
ComDragagem20302;5;2025-08;46.67
ComDragagem20302;5+;2025-08;27.75
ComDragagem20302;0;2025-09;85.75
ComDragagem20302;1;2025-09;162.92
ComDragagem20302;2;2025-09;196.33
ComDragagem20302;3;2025-09;144.33
ComDragagem20302;4;2025-09;81.5
ComDragagem20302;5;2025-09;34.5
ComDragagem20302;5+;2025-09;14.67
ComDragagem20302;0;2025-10;50.75
ComDragagem20302;1;2025-10;170.0
ComDragagem20302;2;2025-10;195.83
ComDragagem20302;3;2025-10;145.75
ComDragagem20302;4;2025-10;79.75
ComDragagem20302;5;2025-10;36.58
ComDragagem20302;5+;2025-10;17.33
