SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;METOCEAN_UNDOCK_QUEUE_TIME;CHANNEL_UNDOCK_QUEUE_TIME;TOTAL_UNDOCK_QUEUE_TIME;OPERATION_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;MARKET_CATEGORY;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S014;1;32.0;229.07;7.56;0;0;0;-8;03:04;260.75;0.0;0.0;260.75;0.0;0.0;0.0;65.08333333333333;4;11:10;7;09:55;BERÇO ARM 37;AUTORIDADE_PONTA;CGNC;BERÇO ARM 37;2;23:50;3;00:50;3;00:50;5;17:55;;;;;;
S014;6;33.0;209.75;11.0;0;0;0;-8;11:24;204.58;2.83;0.0;207.42;0.0;0.0;0.0;17.083333333333332;1;21:00;2;18:05;BERÇO TECON 1.2;SANTOSBR;CGC;BERÇO TECON 1.2;1;02:50;1;03:40;1;03:40;1;20:45;1;20:45;1;21:55
S014;29;32.0;225.0;9.0;0;0;0;-6;03:00;165.0;0.0;0.5;165.5;0.0;0.0;0.0;163.91666666666666;1;21:00;8;17:50;BERÇO DPW 4;DPW - CGNC;CGNC;BERÇO DPW 3;1;00:30;1;02:00;1;02:00;7;21:55;;;;;;
S014;73;32.3;189.99;6.19;0;0;0;-3;07:00;89.0;0.0;0.0;89.0;0.08;0.08;0.17;64.58333333333333;2;04:42;5;03:14;BERÇO TIPLAM 3;TIPLAM - GSA - E;GSA - E;BERÇO TIPLAM 2;1;00:00;1;02:25;1;02:25;3;19:00;3;19:10;3;21:05
S014;81;33.0;180.4;10.28;0;0;0;-3;13:00;83.0;0.0;0.25;83.25;0.0;0.0;0.0;159.66666666666666;1;18:20;8;13:30;BERÇO ARM 30;BRACELL;CGNC;BERÇO ARM 35P2;1;00:15;1;01:05;1;01:05;7;16:45;;;;;;
S014;83;32.0;263.23;10.1;0;0;0;-3;13:30;106.17;0.33;12.75;119.25;0.0;0.0;0.0;10.583333333333334;3;12:31;4;06:33;BERÇO DPW 1;DPW - CGC;CGC;BERÇO DPW 1;2;12:45;2;14:00;2;14:00;3;00:35;3;00:35;3;02:10
S014;85;33.0;199.9;7.5;0;0;0;-3;16:30;79.5;0.0;4.25;83.75;0.0;0.0;0.0;101.66666666666667;1;07:40;5;23:42;BERÇO VAL;AUTORIDADE_SABOO;CGNC;BERÇO CS 04;1;04:15;1;05:55;1;05:55;5;11:35;;;;;;
S014;90;28.0;179.99;8.0;0;0;0;-3;22:48;74.83;15.42;0.0;90.25;0.0;0.0;0.0;72.91666666666667;1;18:05;5;18:18;BERÇO Ageo I;AGEO_TERMINAIS;GL;BERÇO Ageo I;1;17:05;1;18:45;1;18:45;4;19:40;;;;;;
S014;96;37.0;227.92;9.9;0;0;0;-2;12:30;59.5;6.5;0.0;66.0;1.33;0.0;1.33;6.333333333333333;1;03:40;1;18:10;BERÇO TECON 1.2;SANTOSBR;CGC;BERÇO TECON 1.1;1;06:30;1;07:40;1;07:40;1;14:00;1;15:20;1;16:10
S014;100;43.0;346.98;9.8;1;0;0;-2;23:06;58.42;3.83;0.0;62.25;0.0;0.0;0.0;10.583333333333334;1;15:10;2;08:39;BERÇO TECON 2;SANTOSBR;CGC;BERÇO TECON 2;1;13:25;1;14:20;1;14:20;2;00:55;2;00:55;2;02:10
