SCENARIO_ID;SEGMENT_ID;HOURS_0_VESSELS;HOURS_1_VESSEL;HOURS_2_VESSELS;HOURS_3_VESSELS;HOURS_4_VESSELS;HOURS_5_VESSELS;HOURS_5PLUS_VESSELS
11032026_CPLEX_2SemDragagem2030;1;396.5;291.67;31.83;0.0;0.0;0.0;0.0
11032026_CPLEX_2SemDragagem2030;2;620.75;96.83;2.42;0.0;0.0;0.0;0.0
11032026_CPLEX_2SemDragagem2030;3;634.58;85.42;0.0;0.0;0.0;0.0;0.0
11032026_CPLEX_2SemDragagem2030;4;613.83;106.17;0.0;0.0;0.0;0.0;0.0
11032026_CPLEX_2SemDragagem2030;5;617.17;102.83;0.0;0.0;0.0;0.0;0.0
11032026_CPLEX_2SemDragagem2030;6;587.75;120.0;12.25;0.0;0.0;0.0;0.0
11032026_CPLEX_2SemDragagem2030;7;635.42;83.17;1.42;0.0;0.0;0.0;0.0
11032026_CPLEX_2SemDragagem2030;8;646.17;73.33;0.5;0.0;0.0;0.0;0.0
11032026_CPLEX_2SemDragagem2030;9;657.42;61.25;1.33;0.0;0.0;0.0;0.0
11032026_CPLEX_2SemDragagem2030;10;658.83;61.17;0.0;0.0;0.0;0.0;0.0
11032026_CPLEX_2SemDragagem2030;11;651.17;62.5;6.33;0.0;0.0;0.0;0.0
11032026_CPLEX_2SemDragagem2030;12;675.42;44.58;0.0;0.0;0.0;0.0;0.0
11032026_CPLEX_2SemDragagem2030;13;648.83;63.0;8.17;0.0;0.0;0.0;0.0
11032026_CPLEX_2SemDragagem2030;14;672.83;47.17;0.0;0.0;0.0;0.0;0.0
11032026_CPLEX_2SemDragagem2030;15;695.83;23.92;0.25;0.0;0.0;0.0;0.0
11032026_CPLEX_2SemDragagem2030;16;702.33;17.33;0.33;0.0;0.0;0.0;0.0
11032026_CPLEX_2SemDragagem2030;17;687.17;32.67;0.17;0.0;0.0;0.0;0.0
