SEGMENT_ID;HOURS_0_VESSELS;HOURS_1_VESSEL;HOURS_2_VESSELS;HOURS_3_VESSELS;HOURS_4_VESSELS;HOURS_5_VESSELS;HOURS_5PLUS_VESSELS
1;5032.08;2035.17;577.92;137.42;16.25;0.92;0.25
2;6839.0;941.75;19.0;0.17;0.08;0.0;0.0
3;6903.75;894.67;1.33;0.17;0.08;0.0;0.0
4;6684.83;1113.75;1.17;0.17;0.08;0.0;0.0
5;6791.0;1007.42;1.33;0.17;0.08;0.0;0.0
6;6544.33;1171.33;82.58;1.67;0.08;0.0;0.0
7;6996.75;786.17;17.08;0.0;0.0;0.0;0.0
8;7197.0;589.33;13.67;0.0;0.0;0.0;0.0
9;7262.75;526.08;11.17;0.0;0.0;0.0;0.0
10;7317.25;482.67;0.08;0.0;0.0;0.0;0.0
11;7199.5;559.33;41.17;0.0;0.0;0.0;0.0
12;7249.08;549.75;1.17;0.0;0.0;0.0;0.0
13;7282.92;464.67;52.33;0.08;0.0;0.0;0.0
14;7465.5;334.25;0.25;0.0;0.0;0.0;0.0
15;7747.5;52.25;0.25;0.0;0.0;0.0;0.0
16;7645.5;150.75;3.75;0.0;0.0;0.0;0.0
17;7543.92;252.67;3.42;0.0;0.0;0.0;0.0
