SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;METOCEAN_UNDOCK_QUEUE_TIME;CHANNEL_UNDOCK_QUEUE_TIME;TOTAL_UNDOCK_QUEUE_TIME;NON_P_DOCKED_DURATION;P_DOCKED_DURATION;DOCKED_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;MARKET_CATEGORY;SIZE_CATEGORY;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H;CARGO;DIRECTION
ComDragagem2030;3797;23.0;225.0;0.0;0;0;0;1;14:34;0.0;0.0;2.42;2.42;0.0;3.67;3.67;3.68;51.12;58.5;;;;;;ADM;GSA - E;;BERÇO ARM 39;1;17:00;1;18:05;1;21:00;4;0:10;4.0;4:35;4.0;5:15;70000;1.0
ComDragagem2030;3798;23.0;185.0;10.25;0;0;0;1;13:36;0.0;0.0;4.75;4.75;0.0;0.08;0.08;1.14;64.43;65.67;;;;;;AGEO_TERMINAIS;GL;;BERÇO Ageo I;1;18:25;1;19:50;1;20:13;4;12:40;4.0;13:30;4.0;15:10;35000;2.0
ComDragagem2030;3799;23.0;215.0;9.25;0;0;0;1;12:35;0.0;0.0;5.58;5.58;0.58;0.0;0.58;1.54;13.85;16.0;;;;;;BTP;CGC;;BERÇO BTP 1;1;18:10;1;20:00;1;20:47;2;10:40;2.0;12:00;2.0;13:45;1000;3.0
ComDragagem2030;3800;23.0;295.0;13.25;0;0;0;1;12:37;0.33;0.0;0.17;0.5;0.5;0.67;1.17;2.59;20.66;24.42;;;;;;BTP;CGC;;BERÇO BTP 2;1;13:10;1;15:00;1;16:50;2;13:30;2.0;15:25;2.0;17:10;4000;3.0
ComDragagem2030;3801;23.0;295.0;13.25;0;0;0;1;12:35;0.58;0.0;2.08;2.67;0.17;4.75;4.92;3.35;20.66;29.0;;;;;;BTP;CGC;;BERÇO BTP 3;1;15:15;1;17:05;1;19:41;2;16:25;2.0;22:05;2.0;23:50;4000;3.0
ComDragagem2030;3802;23.0;205.0;0.0;0;0;0;1;10:35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.81;77.19;78.0;;;;;;CITROSUCO;GL;;BERÇO ARM 29;1;10:35;1;11:55;1;11:58;4;17:10;4.0;17:55;4.0;18:50;35000;1.0
ComDragagem2030;3803;23.0;225.0;0.0;0;0;0;1;15:41;0.0;0.0;0.58;0.58;0.0;0.0;0.0;4.5;68.98;73.5;;;;;;COFCO;GSA - E;;BERÇO ARM 13/14;1;16:20;1;17:50;1;21:35;4;18:35;4.0;19:20;4.0;20:25;70000;1.0
ComDragagem2030;3804;23.0;195.0;0.0;0;0;0;1;13:42;0.0;0.0;6.5;6.5;0.0;0.08;0.08;2.91;39.48;42.5;;;;;;COPESUCAR;GSA - E;;BERÇO ARM 20/21;1;20:15;1;21:40;1;23:49;3;15:20;3.0;16:10;3.0;17:10;45000;1.0
ComDragagem2030;3805;23.0;225.0;0.0;0;0;0;1;16:52;8.25;35.58;4.5;48.33;1.0;2.33;3.33;3.46;58.85;65.67;;;;;;COPESUCAR;GSA - E;;BERÇO ARM 20/21;3;17:15;3;18:40;3;21:22;6;8:15;6.0;12:20;6.0;13:20;70000;1.0
ComDragagem2030;3806;23.0;215.0;10.25;0;0;0;1;15:41;0.0;0.0;3.58;3.58;0.0;0.83;0.83;4.33;13.38;18.58;;;;;;DPW - CGC;CGC;;BERÇO DPW 1;1;19:20;1;20:40;2;0:14;2;13:40;2.0;15:15;2.0;16:50;1000;3.0
