VESSEL_BEAM;VESSEL_LOA;VESSEL_DRAFT;VESSEL_EXIT_DRAFT;DIRECTION;ARRIVAL_HOUR;ARRIVAL_MINUTE;ARRIVAL_WEEKDAY;ARRIVAL_WEEKDAY_NUM;ARRIVAL_DAY;DANGEROUS_FLAG;PASSENGER_FLAG;RORO_FLAG;TONNAGE;SERVICE_DURATION;WAIT_FOR_SERVICE;WAIT_FOR_UNDOCK;ARRIVAL_MONTH;ARRIVAL_MONTH_NUM;TERMINAL;TERMINAL_ID;VESSEL_SIZE_CATEGORY;VESSEL_MARKET_CATEGORY;ARRIVAL_ID;DEMAND_SCENARIO
23.0;185.0;0.0;9.25;1.0;8;21;WED;2;1;False;False;False;35000;64.43;0.3;0.75;JAN;1;AGEO_TERMINAIS;11;MRMEDIUMRANGE;GL;1;D203017_newpanamax
23.0;295.0;11.75;11.75;3.0;6;18;WED;2;1;False;False;False;4000;20.66;2.76;0.75;JAN;1;BTP;13;POST-PANAMAXI;CGC;2;D203017_newpanamax
23.0;185.0;9.75;9.75;3.0;8;20;WED;2;1;False;False;False;1000;13.38;1.66;0.75;JAN;1;DPW - CGC;21;FULLYCELLULAR;CGC;3;D203017_newpanamax
23.0;305.0;11.75;11.75;3.0;9;25;WED;2;1;False;False;False;4000;21.93;2.3;0.75;JAN;1;DPW - CGC;21;POST-PANAMAXI;CGC;4;D203017_newpanamax
23.0;215.0;9.25;9.25;3.0;7;20;WED;2;1;False;False;False;1000;16.8;2.57;0.75;JAN;1;SANTOSBR;31;FULLYCELLULAR;CGC;5;D203017_newpanamax
23.0;275.0;10.75;10.75;3.0;10;25;WED;2;1;False;False;False;3000;15.61;1.25;0.75;JAN;1;SANTOSBR;31;PANAMAX;CGC;6;D203017_newpanamax
23.0;195.0;8.75;8.75;3.0;7;23;WED;2;1;False;False;True;1500;20.97;4.51;0.75;JAN;1;TEV;37;CARGARO-RO;RORO;7;D203017_newpanamax
18.0;85.34;4.2;5.5;1.0;18;5;0;2;1;False;False;False;0;70.42;0.08;0.75;0;1;TUP - Saipem;8;HANDYSIZE;CGNC;8;D203017_newpanamax
23.0;175.0;10.25;0.0;2.0;13;33;THU;3;2;False;False;False;35000;57.11;12.01;0.75;JAN;1;STS;2;MRMEDIUMRANGE;GL;9;D203017_newpanamax
23.0;155.0;9.75;0.0;2.0;11;34;THU;3;2;False;False;False;18000;32.32;3.24;0.75;JAN;1;ADONAI;10;GPGENERALPURPOSE;GL;10;D203017_newpanamax
49.0;366.0;15.0;15.0;3.0;8;24;THU;3;2;False;False;False;12500;30.72;2.72;0.75;JAN;1;BTP;13;NEWPANAMAX;CGC;11;D203017_newpanamax
23.0;295.0;12.75;12.75;3.0;9;26;THU;3;2;False;False;False;4000;20.66;0.78;0.75;JAN;1;BTP;13;POST-PANAMAXI;CGC;12;D203017_newpanamax
23.0;185.0;10.25;10.25;3.0;12;34;THU;3;2;False;False;False;1000;13.38;1.51;0.75;JAN;1;DPW - CGC;21;FULLYCELLULAR;CGC;13;D203017_newpanamax
23.0;255.0;11.25;11.25;3.0;12;34;THU;3;2;False;False;False;3000;17.86;0.53;0.75;JAN;1;DPW - CGC;21;PANAMAX;CGC;14;D203017_newpanamax
23.0;295.0;12.75;12.75;3.0;12;34;THU;3;2;False;False;False;4000;21.93;0.71;0.75;JAN;1;DPW - CGC;21;POST-PANAMAXI;CGC;15;D203017_newpanamax
23.0;135.0;7.25;7.25;3.0;13;36;THU;3;2;False;False;False;500;7.08;1.47;0.75;JAN;1;SANTOSBR;31;FEEDER/EARLY;CGC;16;D203017_newpanamax
23.0;195.0;9.75;9.75;3.0;12;32;THU;3;2;False;False;False;1000;16.8;1.33;0.75;JAN;1;SANTOSBR;31;FULLYCELLULAR;CGC;17;D203017_newpanamax
