SCENARIO_ID;SEGMENT_ID;HOURS_0_VESSELS;HOURS_1_VESSEL;HOURS_2_VESSELS;HOURS_3_VESSELS;HOURS_4_VESSELS;HOURS_5_VESSELS;HOURS_5PLUS_VESSELS
ComDragagem2030;1;1135.17;930.83;94.0;0.0;0.0;0.0;0.0
ComDragagem2030;2;1866.25;287.33;6.42;0.0;0.0;0.0;0.0
ComDragagem2030;3;1886.67;273.33;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;4;1826.92;333.08;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;5;1837.75;322.25;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;6;1707.92;404.17;47.92;0.0;0.0;0.0;0.0
ComDragagem2030;7;1893.83;259.33;6.83;0.0;0.0;0.0;0.0
ComDragagem2030;8;1935.67;222.83;1.5;0.0;0.0;0.0;0.0
ComDragagem2030;9;1957.83;199.25;2.92;0.0;0.0;0.0;0.0
ComDragagem2030;10;1964.67;195.33;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;11;1946.58;184.75;28.67;0.0;0.0;0.0;0.0
ComDragagem2030;12;2029.92;130.08;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;13;1896.58;229.08;34.33;0.0;0.0;0.0;0.0
ComDragagem2030;14;2024.67;135.33;0.0;0.0;0.0;0.0;0.0
ComDragagem2030;15;2105.42;53.42;1.17;0.0;0.0;0.0;0.0
ComDragagem2030;16;2090.33;69.33;0.33;0.0;0.0;0.0;0.0
ComDragagem2030;17;2066.5;92.08;1.42;0.0;0.0;0.0;0.0
