SCENARIO_ID;ARRIVAL_ID;LOA;BEAM;DRAFT;TERMINAL_ID;TERMINAL_MARKET_CATEGORY;BERTH;CATEGORY;DETAILED_CATEGORY;PROCESS_TIME
S012;1;229.07;32.0;7.56;6;CGNC;BERÇO ARM 37;CARGO;N/A;3905
S012;6;209.75;33.0;11.0;32;CGC;BERÇO TECON 1.2;CARGO;N/A;1025
S012;16;189.99;32.0;12.74;43;GSM - I;BERÇO TERMAG;CARGO;N/A;8105
S012;29;225.0;32.0;9.0;52;CGNC;BERÇO DPW 3;CARGO;N/A;9835
S012;73;189.99;32.3;6.19;56;nan;BERÇO TIPLAM 3;CARGO;N/A;3875
S012;81;180.4;33.0;10.28;8;CGNC;BERÇO ARM 35P2;CARGO;N/A;9580
S012;83;263.23;32.0;10.1;51;CGC;BERÇO DPW 1;CARGO;N/A;635
S012;85;199.9;33.0;7.5;7;CGNC;BERÇO CS 04;CARGO;N/A;6100
S012;90;179.99;28.0;8.0;2;GL;BERÇO Ageo I;CARGO;N/A;4375
S012;91;175.53;29.0;9.94;57;GSM - I;BERÇO TIPLAM 2;CARGO;N/A;9670
S012;96;227.92;37.0;9.9;32;CGC;BERÇO TECON 1.1;CARGO;N/A;380
S012;100;346.98;43.0;9.8;32;CGC;BERÇO TECON 2;CARGO;N/A;635
S012;103;328.46;48.0;14.5;9;CGC;BERÇO BTP 1;CARGO;N/A;1780
S012;107;179.99;28.0;9.33;28;CGNC;BERÇO CS 01;CARGO;N/A;10050
S012;109;189.99;32.0;6.25;5;CGNC;BERÇO ARM 20/21;CARGO;N/A;2265
S012;110;199.08;30.0;7.5;26;CGNC;BERÇO ARM 25;CARGO;N/A;5505
S012;114;146.6;24.0;5.8;33;GL;BERÇO AL 03;CARGO;N/A;1355
S012;115;228.95;35.0;7.3;6;CGNC;BERÇO ARM 37;CARGO;N/A;2870
S012;116;334.8;45.86;13.9;51;CGC;BERÇO DPW 2;CARGO;N/A;2115
S012;118;284.71;40.0;10.1;51;CGC;BERÇO DPW 2;CARGO;N/A;1185
S012;122;183.98;27.4;7.4;47;GL;BERÇO AL 02;CARGO;N/A;2095
S012;125;336.0;51.0;10.8;32;CGC;BERÇO TECON 3;CARGO;N/A;2050
S012;128;334.8;46.0;10.1;51;CGC;BERÇO DPW 2;CARGO;N/A;1870
S012;129;299.9;45.0;10.1;9;CGC;BERÇO BTP 3;CARGO;N/A;1045
S012;130;299.99;48.0;11.3;9;CGC;BERÇO BTP 3;CARGO;N/A;990
S012;131;225.0;32.0;9.25;52;CGNC;BERÇO DPW 4;CARGO;N/A;3650
S012;132;258.89;32.0;9.0;32;CGC;BERÇO TECON 3;CARGO;N/A;170
S012;133;199.9;32.0;7.6;37;GSA - E;BERÇO TEAG;CARGO;N/A;5915
S012;134;186.36;28.0;9.0;32;CGC;BERÇO TECON 1.1;CARGO;N/A;800
S012;135;333.33;38.0;8.6;11;PASSAGEIROS;BERÇO OUT 1;PASSENGER;N/A;685
S012;136;189.99;32.31;9.18;58;GSM - E;BERÇO USIMINAS 3;CARGO;N/A;7720
S012;137;179.87;28.0;8.5;55;nan;BERÇO TIPLAM 1;CARGO;N/A;1545
S012;138;231.0;32.0;12.0;51;CGC;BERÇO DPW 1;CARGO;N/A;915
S012;139;199.2;30.0;11.15;25;CGNC;BERÇO ARM 35P1;CARGO;N/A;820
S012;140;199.98;32.0;6.48;6;CGNC;BERÇO ARM 37;CARGO;N/A;4530
S012;141;190.0;32.0;11.71;46;GSA - E;BERÇO OUT 3;CARGO;N/A;305
S012;142;230.0;38.0;10.92;39;GSA - E;BERÇO ARM 39;CARGO;N/A;1950
S012;143;164.34;23.0;8.0;54;GL;BERÇO DOW;CARGO;N/A;1630
S012;144;305.0;50.0;8.6;11;PASSAGEIROS;BERÇO 25 + FRIG;PASSENGER;N/A;625
S012;145;331.43;52.0;8.65;11;PASSAGEIROS;BERÇO OUT 2;PASSENGER;N/A;575
S012;146;272.08;40.0;10.2;32;CGC;BERÇO TECON 1.2;CARGO;N/A;945
S012;147;336.0;51.0;14.3;32;CGC;BERÇO TECON 3;CARGO;N/A;1490
S012;148;306.0;40.0;12.0;51;CGC;BERÇO DPW 2;CARGO;N/A;1225
S012;149;199.99;36.0;9.85;25;CGNC;BERÇO ARM 35P1;CARGO;N/A;1545
S012;151;183.2;28.0;8.5;47;GL;BERÇO AL 02;CARGO;N/A;1495
S012;152;180.0;32.0;7.4;29;CGNC;BERÇO ARM 34;CARGO;N/A;8875
S012;153;228.41;37.0;7.42;5;CGNC;BERÇO ARM 20/21;CARGO;N/A;4375
S012;154;333.17;48.0;11.4;32;CGC;BERÇO TECON 2;CARGO;N/A;1445
