SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;METOCEAN_UNDOCK_QUEUE_TIME;CHANNEL_UNDOCK_QUEUE_TIME;TOTAL_UNDOCK_QUEUE_TIME;OPERATION_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S012;1;32.0;229.07;7.56;0;0;0;-8;03:04;261.17;0.0;1.0;262.17;0.0;0.0;0.0;65.08333333333333;4;11:10;7;09:55;BERÇO ARM 37;AUTORIDADE_PONTA;BERÇO ARM 37;3;01:15;3;02:15;3;02:15;5;19:20;5;19:20;5;20:00
S012;6;33.0;209.75;11.0;0;0;0;-8;11:24;204.58;0.83;0.0;205.42;0.0;0.0;0.0;17.083333333333332;1;21:00;2;18:05;BERÇO TECON 1.2;SANTOSBR;BERÇO TECON 1.2;1;00:50;1;01:40;1;01:40;1;18:45;1;18:45;1;19:55
S012;16;32.0;189.99;12.74;0;0;0;-7;03:18;380.67;0.0;0.17;380.83;0.0;0.0;0.0;135.08333333333334;10;13:42;16;07:23;BERÇO TERMAG;TERMAG;BERÇO TERMAG;9;00:10;9;00:55;9;00:55;14;16:00;;;;;;
S012;29;32.0;225.0;9.0;0;0;0;-6;03:00;165.0;0.0;0.25;165.25;12.67;5.83;18.5;163.91666666666666;1;21:00;8;17:50;BERÇO DPW 4;DPW - CGNC;BERÇO DPW 3;1;00:15;1;01:45;1;01:45;7;21:40;8;16:10;8;17:20
S012;73;32.3;189.99;6.19;0;0;0;-3;07:00;89.0;0.0;-89.0;0.0;0.08;0.75;0.83;64.58333333333333;2;04:42;5;03:14;BERÇO TIPLAM 3;TIPLAM - GSA - E;BERÇO TIPLAM 3;1;00:00;1;02:25;1;02:25;3;19:00;3;19:50;3;21:45
S012;81;33.0;180.4;10.28;0;0;0;-3;13:00;83.0;0.0;0.33;83.33;0.0;0.0;0.0;159.66666666666666;1;18:20;8;13:30;BERÇO ARM 30;BRACELL;BERÇO ARM 35P2;1;00:20;1;01:10;1;01:10;7;16:50;7;16:50;7;18:00
S012;83;32.0;263.23;10.1;0;0;0;-3;13:30;105.58;0.92;11.42;117.92;0.0;0.0;0.0;10.583333333333334;3;12:31;4;06:33;BERÇO DPW 1;DPW - CGC;BERÇO DPW 1;2;11:25;2;12:40;2;12:40;2;23:15;2;23:15;3;00:50
S012;85;33.0;199.9;7.5;0;0;0;-3;16:30;79.5;0.0;4.25;83.75;0.0;0.58;0.58;101.66666666666667;1;07:40;5;23:42;BERÇO VAL;AUTORIDADE_SABOO;BERÇO CS 04;1;04:15;1;05:55;1;05:55;5;11:35;5;12:10;5;13:30
S012;90;28.0;179.99;8.0;0;0;0;-3;22:48;74.83;15.42;0.0;90.25;0.0;0.0;0.0;72.91666666666667;1;18:05;5;18:18;BERÇO Ageo I;AGEO_TERMINAIS;BERÇO Ageo I;1;17:05;1;18:45;1;18:45;4;19:40;4;19:40;4;21:00
S012;91;29.0;175.53;9.94;0;0;0;-2;01:00;191.0;0.0;0.0;191.0;0.0;0.0;0.0;161.16666666666666;7;19:25;14;15:35;BERÇO TIPLAM 1;TIPLAM - GSM - I;BERÇO TIPLAM 2;6;00:00;6;01:55;6;01:55;12;19:05;;;;;;
