SCENARIO_ID;DAY;ENTER;EXIT
S2025;1;17,00;9,00
S2025;2;13,00;16,00
S2025;3;16,00;15,00
S2025;4;25,00;21,00
S2025;5;15,00;19,00
S2025;6;16,00;13,00
S2025;7;22,00;24,00
S2025;8;16,00;21,00
S2025;9;21,00;16,00
S2025;10;16,00;22,00
S2025;11;18,00;12,00
S2025;12;21,00;24,00
S2025;13;16,00;17,00
S2025;14;16,00;18,00
S2025;15;27,00;21,00
S2025;16;13,00;20,00
S2025;17;17,00;21,00
S2025;18;18,00;18,00
S2025;19;25,00;19,00
S2025;20;17,00;17,00
S2025;21;15,00;19,00
S2025;22;18,00;16,00
S2025;23;14,00;19,00
S2025;24;15,00;11,00
S2025;25;18,00;11,00
S2025;26;13,00;18,00
S2025;27;17,00;12,00
S2025;28;14,00;19,00
S2025;29;24,00;19,00
S2025;30;14,00;15,00
S2025;31;18,00;13,00
S2025;32;9,00;10,00
S2025;33;13,00;16,00
S2025;34;20,00;15,00
S2025;35;22,00;25,00
S2025;36;14,00;18,00
S2025;37;14,00;17,00
S2025;38;14,00;15,00
S2025;39;20,00;19,00
S2025;40;21,00;15,00
S2025;41;16,00;22,00
S2025;42;17,00;18,00
S2025;43;16,00;14,00
S2025;44;15,00;17,00
S2025;45;20,00;15,00
S2025;46;11,00;12,00
S2025;47;8,00;8,00
S2025;48;2,00;3,00
S2025;49;29,00;20,00
S2025;50;18,00;24,00
S2025;51;21,00;22,00
S2025;52;16,00;19,00
S2025;53;22,00;21,00
S2025;54;14,00;11,00
S2025;55;27,00;20,00
S2025;56;10,00;14,00
S2025;57;16,00;19,00
S2025;58;15,00;18,00
S2025;59;19,00;17,00
S2025;60;18,00;13,00
S2025;61;21,00;19,00
S2025;62;18,00;20,00
S2025;63;16,00;19,00
S2025;64;15,00;20,00
S2025;65;18,00;23,00
S2025;66;17,00;14,00
S2025;67;20,00;13,00
S2025;68;18,00;16,00
S2025;69;12,00;16,00
S2025;70;17,00;21,00
S2025;71;13,00;9,00
S2025;72;16,00;19,00
S2025;73;14,00;14,00
S2025;74;15,00;22,00
S2025;75;19,00;13,00
S2025;76;20,00;21,00
S2025;77;19,00;14,00
S2025;78;20,00;21,00
S2025;79;11,00;15,00
S2025;80;11,00;11,00
S2025;81;14,00;12,00
S2025;82;23,00;14,00
S2025;83;17,00;19,00
S2025;84;19,00;20,00
S2025;85;18,00;22,00
S2025;86;14,00;13,00
S2025;87;18,00;18,00
S2025;88;20,00;19,00
S2025;89;18,00;17,00
S2025;90;19,00;19,00
