SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;METOCEAN_UNDOCK_QUEUE_TIME;CHANNEL_UNDOCK_QUEUE_TIME;TOTAL_UNDOCK_QUEUE_TIME;NON_P_DOCKED_DURATION;P_DOCKED_DURATION;DOCKED_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;MARKET_CATEGORY;SIZE_CATEGORY;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S2025;3220;32.0;228.99;6.73;0;0;0;-20;15:00;529.0;41.42;25.33;595.75;0.0;0.17;0.17;0.75;100.58;101.5;5;20:10;10;8:10;BERÇO ARM 37;XXXIX;GSA - E;;BERÇO ARM 37;5;10:45;5;11:50;5;11:50;9;16:25;9;17:20;9;18:00
S2025;3246;32.0;189.9;6.3;0;0;0;-19;16:00;479.75;22.92;114.25;616.92;0.92;2.17;3.08;16.02;128.63;147.75;8;19:30;14;23:20;BERÇO ARM 12A;COFCO;GSA - E;;BERÇO ARM 12A;7;8:55;7;10:25;8;1:41;13;10:20;13;14:10;13;15:15
S2025;3269;32.0;228.99;8.18;0;0;0;-17;9:00;452.42;0.0;58.5;510.92;3.25;0.0;3.25;4.13;47.25;54.67;2;19:12;5;1:41;BERÇO ARM 19;ELEVACOES;GSA - E;;BERÇO ARM 19;4;15:55;4;17:20;4;20:42;6;20:00;7;0:00;7;1:00
S2025;3288;32.0;224.94;6.9;0;0;0;-16;10:00;428.25;335.17;43.33;806.75;0.0;1.5;1.5;0.75;41.7;44.0;19;5:20;21;2:25;BERÇO ARM 37;XXXIX;GSA - E;;BERÇO ARM 37;18;0:45;18;1:50;18;1:50;19;19:35;19;21:50;19;22:30
S2025;3303;33.0;225.0;7.3;0;0;0;-15;8:00;382.83;0.0;44.42;427.25;3.0;0.0;3.0;4.77;61.2;69.0;1;20:05;4;18:42;BERÇO ARM 13/14;COFCO;GSA - E;;BERÇO ARM 12A;3;3:15;3;4:45;3;8:46;5;22:00;6;1:45;6;2:50
S2025;3332;28.0;179.87;9.8;0;0;0;-13;0:48;335.17;0.0;12.0;347.17;0.0;0.0;0.0;7.18;16.5;23.75;2;14:40;3;19:04;BERÇO AL 02;TRANSPETRO;GL;;BERÇO AL 02;1;12:00;1;13:35;1;20:00;2;12:35;2;13:20;2;15:10
S2025;3336;33.0;199.9;10.3;0;0;0;-13;8:00;333.17;0.0;42.83;376.0;0.0;6.08;6.08;3.32;93.93;103.33;4;11:00;8;15:30;BERÇO TIPLAM 1;TIPLAM - GSM - I;GSM - I;;BERÇO TIPLAM 1;3;0:00;3;2:35;3;5:09;7;3:05;7;9:55;7;11:55
S2025;3345;32.0;228.9;7.5;0;0;0;-13;17:18;352.0;0.0;49.42;401.42;0.67;0.0;0.67;3.58;67.9;72.17;4;16:50;7;18:45;BERÇO ARM 39;ADM;GSA - E;;BERÇO ARM 39;4;10:45;4;11:50;4;14:39;7;10:35;7;12:00;7;12:40
S2025;3354;32.0;199.99;6.62;0;0;0;-12;5:54;310.33;63.75;18.67;392.75;0.75;0.17;0.92;3.15;64.02;68.08;5;7:10;8;5:50;BERÇO ARM 20/21;COPESUCAR;GSA - E;;BERÇO ARM 20/21;4;14:40;4;16:05;4;18:29;7;10:30;7;12:10;7;13:10
S2025;3403;32.0;229.0;8.1;0;0;0;-10;22:18;334.67;35.33;95.33;465.33;1.67;0.0;1.67;4.67;33.67;40.0;11;17:55;13;15:50;BERÇO ARM 19;ELEVACOES;GSA - E;;BERÇO ARM 16/17;10;7:40;10;9:10;10;13:05;11;22:45;12;1:10;12;2:15
S2025;3404;32.0;229.0;6.91;0;0;0;-9;0:30;250.17;0.0;23.83;274.0;5.58;0.0;5.58;0.75;63.57;69.92;2;19:20;5;15:20;BERÇO ARM 37;XXXIX;GSA - E;;BERÇO ARM 37;2;10:30;2;11:35;2;11:35;5;3:10;5;9:30;5;10:10
