SCENARIO_ID;SEGMENT_ID;HOURS_0_VESSELS;HOURS_1_VESSEL;HOURS_2_VESSELS;HOURS_3_VESSELS;HOURS_4_VESSELS;HOURS_5_VESSELS;HOURS_5PLUS_VESSELS
S2025;1;1216.42;867.75;75.83;0.0;0.0;0.0;0.0
S2025;2;1892.92;258.25;8.83;0.0;0.0;0.0;0.0
S2025;3;1910.92;249.08;0.0;0.0;0.0;0.0;0.0
S2025;4;1838.58;321.42;0.0;0.0;0.0;0.0;0.0
S2025;5;1867.58;292.42;0.0;0.0;0.0;0.0;0.0
S2025;6;1793.58;342.42;24.0;0.0;0.0;0.0;0.0
S2025;7;1950.5;205.25;4.25;0.0;0.0;0.0;0.0
S2025;8;1969.0;189.17;1.83;0.0;0.0;0.0;0.0
S2025;9;1993.08;164.5;2.42;0.0;0.0;0.0;0.0
S2025;10;2021.33;138.67;0.0;0.0;0.0;0.0;0.0
S2025;11;1981.58;167.0;11.42;0.0;0.0;0.0;0.0
S2025;12;1997.42;162.58;0.0;0.0;0.0;0.0;0.0
S2025;13;1996.33;147.5;16.17;0.0;0.0;0.0;0.0
S2025;14;2056.42;103.58;0.0;0.0;0.0;0.0;0.0
S2025;15;2143.92;16.0;0.08;0.0;0.0;0.0;0.0
S2025;16;2096.0;63.33;0.67;0.0;0.0;0.0;0.0
S2025;17;2072.08;86.83;1.08;0.0;0.0;0.0;0.0
