SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;TERMINAL;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S002;1;18.0;116.9;4.8;0;0;0;1;20:20;0.0;0.0;0.33;0.33;AGEO_NORTE;BERÇO IB SP;1;20:40;1;22:20;1;22:20;2;19:05;2;19:15;2;20:35
S002;2;32.0;229.07;7.56;0;0;0;1;03:04;0.0;0.0;-0.07;-0.07;AUTORIDADE_PONTA;BERÇO ARM 37;1;03:00;1;04:00;1;04:00;3;21:05;3;22:40;3;23:20
S002;3;40.0;304.16;11.0;0;0;0;1;20:18;0.0;0.0;-0.05;-0.05;BTP;BERÇO BTP 3;1;20:15;1;21:40;1;21:40;2;06:05;2;09:00;2;10:45
S002;4;23.0;164.34;7.8;0;0;0;1;08:00;0.0;0.0;0.0;0.0;DOW;BERÇO DOW;1;08:00;1;08:40;1;08:40;2;08:55;2;09:05;2;10:05
S002;5;40.0;299.99;9.8;0;0;0;1;19:30;0.0;0.0;0.0;0.0;DPW;BERÇO DPW 2;1;19:30;1;20:45;1;20:45;3;10:10;3;12:35;3;14:10
S002;6;43.0;270.93;11.3;0;0;0;1;09:18;0.0;0.0;-0.05;-0.05;DPW;BERÇO DPW 1;1;09:15;1;10:30;1;10:30;2;16:35;2;16:35;2;18:10
S002;7;34.0;201.9;7.99;0;0;0;1;06:00;0.0;0.0;0.0;0.0;DPW CELULOSE;BERÇO DPW 4;1;06:00;1;07:30;1;07:30;4;04:10;4;08:25;4;09:35
S002;8;34.0;201.9;8.15;0;0;0;1;21:30;0.0;0.0;0.0;0.0;DPW CELULOSE;BERÇO DPW 3;1;21:30;1;23:00;1;23:00;3;23:15;4;01:10;4;02:20
S002;9;18.0;85.34;4.2;0;0;0;1;18:05;0.0;0.0;0.0;0.0;SAIPEM;BERÇO SAIPEM 1;1;18:05;1;18:55;1;18:55;4;17:20;4;17:20;4;17:50
S002;10;40.0;272.08;10.6;0;0;0;1;06:30;0.0;0.0;0.0;0.0;SANTOSBR;BERÇO TECON 2;1;06:30;1;07:20;1;07:20;2;02:20;2;02:20;2;03:30
S002;11;42.0;334.07;12.0;0;0;0;1;15:53;0.0;0.0;-0.05;-0.05;SANTOSBR;BERÇO TECON 1.2;1;15:50;1;16:40;1;16:40;2;07:50;2;08:20;2;09:30
S002;12;25.0;182.47;8.2;0;0;0;1;16:45;0.0;0.0;0.0;0.0;SANTOSBR;BERÇO TECON 1.1;1;16:45;1;17:35;1;17:35;2;13:35;2;13:35;2;14:45
S002;13;33.0;209.75;11.0;0;0;0;1;11:24;0.0;0.0;-0.07;-0.07;SANTOSBR;BERÇO TECON 3;1;11:20;1;12:10;1;12:10;2;03:40;2;04:20;2;05:30
S002;14;32.0;189.99;5.6;0;0;0;2;03:18;0.0;0.0;0.78;0.78;AUTORIDADE_OUT;BERÇO ARM 20/21;2;04:05;2;05:25;2;05:25;3;15:25;3;15:45;3;16:45
S002;15;22.0;189.99;6.7;0;0;0;2;15:30;2.5;70.08;0.0;72.58;AUTORIDADE_OUT;BERÇO ARM 20/21;5;16:05;5;17:25;5;17:25;6;21:55;7;02:55;7;03:55
