SCENARIO_ID;N_VESSELS;MONTH;HOURS
ComDragagem2035;0;2025-08;51.0
ComDragagem2035;1;2025-08;126.92
ComDragagem2035;2;2025-08;156.92
ComDragagem2035;3;2025-08;167.92
ComDragagem2035;4;2025-08;121.83
ComDragagem2035;5;2025-08;71.25
ComDragagem2035;5+;2025-08;48.17
ComDragagem2035;0;2025-09;56.25
ComDragagem2035;1;2025-09;125.5
ComDragagem2035;2;2025-09;179.5
ComDragagem2035;3;2025-09;171.33
ComDragagem2035;4;2025-09;107.83
ComDragagem2035;5;2025-09;54.33
ComDragagem2035;5+;2025-09;25.25
ComDragagem2035;0;2025-10;37.42
ComDragagem2035;1;2025-10;118.5
ComDragagem2035;2;2025-10;175.0
ComDragagem2035;3;2025-10;168.67
ComDragagem2035;4;2025-10;110.5
ComDragagem2035;5;2025-10;56.25
ComDragagem2035;5+;2025-10;29.67
