SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;METOCEAN_UNDOCK_QUEUE_TIME;CHANNEL_UNDOCK_QUEUE_TIME;TOTAL_UNDOCK_QUEUE_TIME;NON_P_DOCKED_DURATION;P_DOCKED_DURATION;DOCKED_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;MARKET_CATEGORY;SIZE_CATEGORY;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H;CARGO;DIRECTION
ComDragagem2035;4749;23.0;185.0;10.25;0;0;0;1;14:38;0.0;0.0;0.0;0.0;0.0;0.58;0.58;5.64;16.8;23.08;;;;;;TECON10;CGC;;BERÇO TECON10 1;1;14:40;1;16:25;1;21:18;2;14:10;2.0;15:30;2.0;17:10;1000;3.0
ComDragagem2035;4750;23.0;265.0;11.75;0;0;0;1;15:39;0.0;0.0;0.92;0.92;3.33;18.92;22.25;5.28;15.61;43.17;;;;;;TECON10;CGC;;BERÇO TECON10 2;1;16:35;1;18:20;1;22:51;2;14:30;3.0;13:30;3.0;15:10;3000;3.0
ComDragagem2035;4751;43.0;339.0;14.0;0;0;0;1;17:44;0.0;0.0;1.92;1.92;1.67;8.75;10.42;3.1;25.92;39.5;;;;;;TECON10;CGC;;BERÇO TECON10 3;1;19:40;1;21:25;1;23:46;3;1:45;3.0;12:55;3.0;14:35;6000;3.0
ComDragagem2035;4752;23.0;155.0;9.25;0;0;0;1;13:36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.26;45.88;47.17;;;;;;AGEO_TERMINAIS;GL;;BERÇO Ageo I;1;13:40;1;15:05;1;15:35;3;13:30;3.0;14:15;3.0;15:55;18000;2.0
ComDragagem2035;4753;23.0;135.0;7.75;0;0;0;1;12:35;0.0;0.0;0.67;0.67;0.0;0.08;0.08;3.76;20.71;24.58;;;;;;BTP;CGC;;BERÇO BTP 1;1;13:15;1;15:05;1;18:05;2;14:50;2.0;15:40;2.0;17:25;500;3.0
ComDragagem2035;4754;23.0;215.0;9.25;0;0;0;1;12:35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.39;13.85;16.25;;;;;;BTP;CGC;;BERÇO BTP 2;1;12:35;1;14:25;1;16:03;2;5:55;2.0;6:40;2.0;8:25;1000;3.0
ComDragagem2035;4755;23.0;185.0;9.75;0;0;0;1;14:41;1.83;11.25;1.08;14.17;0.17;0.08;0.25;3.19;13.85;17.33;;;;;;BTP;CGC;;BERÇO BTP 2;2;4:55;2;6:45;2;9:11;2;23:05;3.0;0:05;3.0;1:50;1000;3.0
ComDragagem2035;4756;23.0;295.0;13.25;0;0;0;1;12:37;0.33;0.0;1.0;1.33;0.25;4.0;4.25;5.35;20.66;30.33;;;;;;BTP;CGC;;BERÇO BTP 3;1;14:00;1;15:50;1;20:26;2;17:10;2.0;22:10;2.0;23:55;4000;3.0
ComDragagem2035;4757;23.0;205.0;0.0;0;0;0;1;10:35;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.77;77.19;78.5;;;;;;CITROSUCO;GL;;BERÇO ARM 29;1;10:35;1;11:55;1;11:56;4;17:10;4.0;18:25;4.0;19:20;35000;1.0
ComDragagem2035;4758;23.0;225.0;0.0;0;0;0;1;15:41;0.17;0.0;4.92;5.08;1.08;2.42;3.5;2.87;68.98;75.42;;;;;;COFCO;GSA - E;;BERÇO ARM 13/14;1;20:50;1;22:20;2;0:27;4;21:30;5.0;1:45;5.0;2:50;70000;1.0
ComDragagem2035;4759;23.0;195.0;0.0;0;0;0;1;16:52;0.25;0.0;3.92;4.17;0.0;0.0;0.0;3.31;39.48;42.83;;;;;;COPESUCAR;GSA - E;;BERÇO ARM 20/21;1;21:05;1;22:30;2;1:03;3;16:35;3.0;17:20;3.0;18:20;45000;1.0
ComDragagem2035;4760;23.0;225.0;0.0;0;0;0;1;13:42;8.33;35.92;8.42;52.67;1.0;1.5;2.5;2.81;58.85;64.17;;;;;;COPESUCAR;GSA - E;;BERÇO ARM 20/21;3;18:25;3;19:50;3;21:53;6;8:45;6.0;12:00;6.0;13:00;70000;1.0
ComDragagem2035;4761;23.0;215.0;10.25;0;0;0;1;15:41;0.0;0.0;1.33;1.33;0.0;0.0;0.0;2.2;13.38;15.58;;;;;;DPW - CGC;CGC;;BERÇO DPW 3;1;17:05;1;18:40;1;20:07;2;9:30;2.0;10:15;2.0;11:25;1000;3.0
ComDragagem2035;4762;23.0;265.0;11.75;0;0;0;1;16:44;0.0;0.0;0.08;0.08;1.58;4.92;6.5;5.41;17.86;29.83;;;;;;DPW - CGC;CGC;;BERÇO DPW 1;1;16:50;1;18:10;1;22:49;2;16:45;3.0;0:00;3.0;1:35;3000;3.0
ComDragagem2035;4763;23.0;255.0;11.75;0;0;0;1;15:41;0.0;0.0;2.5;2.5;0.0;0.17;0.17;2.52;17.86;20.58;;;;;;DPW - CGC;CGC;;BERÇO DPW 2;1;18:15;1;19:55;1;21:41;2;15:35;2.0;16:30;2.0;18:05;3000;3.0
ComDragagem2035;4764;23.0;225.0;0.0;0;0;0;1;14:39;0.0;0.0;0.5;0.5;0.0;2.92;2.92;4.42;53.25;60.58;;;;;;ELEVACOES;GSA - E;;BERÇO ARM 19;1;15:10;1;16:35;1;20:15;4;1:30;4.0;5:10;4.0;6:10;70000;1.0
ComDragagem2035;4765;32.2;205.0;0.0;0;0;0;1;14:39;0.0;0.0;0.25;0.25;0.0;0.0;0.0;2.66;39.16;41.83;;;;;;ELEVACOES;GSA - E;;BERÇO ARM 16/17;1;14:55;1;16:25;1;18:19;3;9:30;3.0;10:15;3.0;11:20;55000;1.0
ComDragagem2035;4766;23.0;185.0;10.75;0;0;0;1;16:44;0.0;0.0;1.75;1.75;0.0;0.17;0.17;2.49;16.8;19.5;;;;;;SANTOSBR;CGC;;BERÇO TECON 1.1;1;18:30;1;19:45;1;21:29;2;14:20;2.0;15:15;2.0;16:25;1000;3.0
ComDragagem2035;4767;49.0;366.0;15.0;1;0;0;1;16:44;14.83;4.42;0.0;19.25;0.0;0.0;0.0;5.37;38.88;44.25;;;;;;SANTOSBR;CGC;;BERÇO TECON 2;2;12:00;2;13:20;2;17:57;4;8:50;4.0;9:35;4.0;10:50;12500;3.0
ComDragagem2035;4768;23.0;265.0;11.75;0;0;0;1;15:39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.27;15.61;19.92;;;;;;SANTOSBR;CGC;;BERÇO TECON 2;1;15:40;1;16:55;1;20:26;2;12:05;2.0;12:50;2.0;14:00;3000;3.0
ComDragagem2035;4769;43.0;339.0;14.0;0;0;0;1;16:44;0.0;0.0;0.58;0.58;0.33;0.0;0.33;3.12;25.92;29.42;;;;;;SANTOSBR;CGC;;BERÇO TECON 3;1;17:20;1;18:35;1;20:57;2;22:55;3.0;0:00;3.0;1:10;6000;3.0
ComDragagem2035;4770;23.0;225.0;0.0;0;0;0;1;15:36;0.0;0.0;3.08;3.08;0.0;0.42;0.42;2.5;78.07;81.0;;;;;;TEG;GSA - E;;BERÇO TEG;1;18:45;1;19:55;1;21:40;5;3:45;5.0;4:55;5.0;5:40;70000;1.0
ComDragagem2035;4771;23.0;195.0;9.25;0;0;1;1;15:44;1.33;25.58;1.0;27.92;0.0;0.0;0.0;1.34;20.97;22.33;;;;;;TEV;RORO;;BERÇO TEV;2;19:40;2;21:00;2;21:35;3;18:35;3.0;19:20;3.0;20:35;1500;3.0
ComDragagem2035;4772;23.0;195.0;9.25;0;0;1;1;13:41;0.0;0.0;1.67;1.67;0.0;0.0;0.0;1.95;20.97;22.92;;;;;;TEV;RORO;;BERÇO TEV;1;15:25;1;16:45;1;17:57;2;14:55;2.0;15:40;2.0;16:55;1500;3.0
ComDragagem2035;4773;23.0;225.0;0.0;0;0;0;1;15:39;0.0;0.0;0.67;0.67;0.0;0.0;0.0;3.55;62.19;65.75;;;;;;TIPLAM - GSA - E;GSA - E;;BERÇO TIPLAM 2;1;16:20;1;18:55;1;21:43;4;11:55;4.0;12:40;4.0;14:40;70000;1.0
ComDragagem2035;4774;23.0;225.0;0.0;0;0;0;1;15:42;0.0;0.0;4.58;4.58;0.0;0.42;0.42;3.45;62.19;66.08;;;;;;TIPLAM - GSA - E;GSA - E;;BERÇO TIPLAM 3;1;20:20;1;22:55;2;1:37;4;15:50;4.0;17:00;4.0;19:00;70000;1.0
ComDragagem2035;4775;23.0;185.0;0.0;0;0;0;1;16:42;0.0;0.0;3.83;3.83;0.0;0.0;0.0;1.4;29.94;31.33;;;;;;TRANSPETRO;GL;;BERÇO AL 01;1;20:35;1;22:30;1;23:09;3;5:05;3.0;5:50;3.0;7:20;35000;1.0
ComDragagem2035;4776;23.0;185.0;0.0;0;0;0;1;16:42;0.0;0.0;2.67;2.67;0.0;0.0;0.0;2.8;29.94;32.75;;;;;;TRANSPETRO;GL;;BERÇO AL 02;1;19:25;1;21:20;1;23:23;3;5:20;3.0;6:05;3.0;7:35;35000;1.0
ComDragagem2035;4777;23.0;185.0;10.75;0;0;0;1;17:48;0.0;0.0;0.17;0.17;0.75;0.0;0.75;0.75;62.88;64.42;;;;;;VOPAK;GL;;BERÇO AL 03;1;18:00;1;19:35;1;19:35;4;10:30;4.0;12:00;4.0;13:50;35000;2.0
ComDragagem2035;4778;36.0;225.0;0.0;0;0;0;2;14:43;0.0;0.0;3.42;3.42;0.0;0.33;0.33;2.06;99.0;101.42;;;;;;ARAUCO;CGNC;;BERÇO ARAUCO 1;2;18:10;2;20:20;2;21:38;7;0:40;7.0;1:45;7.0;3:30;55000;1.0
ComDragagem2035;4779;23.0;215.0;10.75;0;0;0;2;17:47;0.0;0.0;0.83;0.83;0.0;0.0;0.0;2.08;16.8;18.92;;;;;;TECON10;CGC;;BERÇO TECON10 1;2;18:40;2;20:25;2;21:44;3;14:35;3.0;15:20;3.0;17:00;1000;3.0
ComDragagem2035;4780;36.0;225.0;0.0;0;0;0;2;17:50;0.0;0.0;2.33;2.33;0.75;4.42;5.17;8.56;99.66;113.42;;;;;;BRACELL;CGNC;;BERÇO ARM 35P1;2;20:10;2;21:20;3;5:08;7;8:50;7.0;14:45;7.0;15:30;55000;1.0
ComDragagem2035;4781;36.0;225.0;0.0;0;0;0;2;16:49;0.0;0.0;5.0;5.0;0.0;2.0;2.0;10.15;99.66;111.83;;;;;;BRACELL;CGNC;;BERÇO ARM 35P2;2;21:50;2;23:05;3;8:29;7;12:10;7.0;14:55;7.0;15:45;55000;1.0
ComDragagem2035;4782;23.0;185.0;10.25;0;0;0;2;19:53;0.0;0.92;0.0;0.92;0.0;0.67;0.67;2.86;13.85;17.42;;;;;;BTP;CGC;;BERÇO BTP 3;2;20:50;2;22:40;3;0:46;3;14:40;3.0;16:05;3.0;17:50;1000;3.0
ComDragagem2035;4783;23.0;185.0;10.25;0;0;0;2;17:48;0.0;0.58;0.0;0.58;0.0;0.0;0.0;5.36;13.85;19.25;;;;;;BTP;CGC;;BERÇO BTP 1;2;18:25;2;20:15;3;0:51;3;14:45;3.0;15:30;3.0;17:15;1000;3.0
ComDragagem2035;4784;23.0;295.0;14.25;0;0;0;2;18:51;2.17;3.25;2.42;7.83;0.0;0.08;0.08;3.34;20.66;24.08;;;;;;BTP;CGC;;BERÇO BTP 2;3;2:45;3;4:35;3;7:10;4;3:50;4.0;4:40;4.0;6:25;4000;3.0
ComDragagem2035;4785;23.0;225.0;0.0;0;0;0;2;19:53;15.67;38.17;2.17;56.0;0.0;0.5;0.5;4.24;68.98;73.75;;;;;;COFCO;GSA - E;;BERÇO ARM 13/14;5;3:55;5;5:25;5;8:54;8;5:55;8.0;7:10;8.0;8:15;70000;1.0
ComDragagem2035;4786;23.0;225.0;0.0;0;0;0;2;18:52;0.25;0.0;0.25;0.5;1.08;5.42;6.5;15.56;68.98;91.08;;;;;;COFCO;GSA - E;;BERÇO ARM 12A;2;19:25;2;20:55;3;11:43;6;8:45;6.0;16:00;6.0;17:05;70000;1.0
ComDragagem2035;4787;23.0;195.0;0.0;0;0;0;2;18:57;27.58;64.08;0.0;91.67;0.75;0.33;1.08;3.68;39.48;44.25;;;;;;COPESUCAR;GSA - E;;BERÇO ARM 20/21;6;14:40;6;16:05;6;19:00;8;10:30;8.0;12:20;8.0;13:20;45000;1.0
ComDragagem2035;4788;23.0;215.0;10.75;0;0;0;2;17:48;0.0;0.0;1.33;1.33;0.0;0.25;0.25;2.01;13.38;15.67;;;;;;DPW - CGC;CGC;;BERÇO DPW 3;2;19:10;2;20:45;2;22:00;3;11:25;3.0;12:25;3.0;13:35;1000;3.0
ComDragagem2035;4789;23.0;265.0;12.25;0;0;0;2;17:48;0.0;1.08;0.0;1.08;0.0;2.08;2.08;2.69;17.86;22.67;;;;;;DPW - CGC;CGC;;BERÇO DPW 2;2;18:55;2;20:35;2;22:31;3;16:25;3.0;19:15;3.0;20:50;3000;3.0
ComDragagem2035;4790;36.0;225.0;0.0;0;0;0;2;19:54;0.0;0.0;1.17;1.17;4.5;9.5;14.0;7.38;64.0;85.42;;;;;;DPW - CGNC;CGNC;;BERÇO DPW 4;2;21:05;2;22:40;3;5:17;5;21:20;6.0;12:05;6.0;13:15;55000;1.0
ComDragagem2035;4791;36.0;225.0;0.0;0;0;0;2;17:46;0.0;0.0;2.08;2.08;0.33;0.58;0.92;1.55;36.9;39.42;;;;;;ELDORADO;CGNC;;BERÇO ARM 31;2;19:55;2;21:10;2;21:58;4;10:55;4.0;12:35;4.0;13:25;55000;1.0
ComDragagem2035;4792;23.0;225.0;0.0;0;0;0;2;18:53;3.75;12.17;1.17;17.08;0.0;1.58;1.58;6.97;53.25;61.83;;;;;;ELEVACOES;GSA - E;;BERÇO ARM 16/17;3;12:00;3;13:30;3;19:43;6;1:00;6.0;3:20;6.0;4:25;70000;1.0
ComDragagem2035;4793;23.0;185.0;12.25;0;0;0;2;20:54;0.0;0.0;0.67;0.67;0.0;0.5;0.5;1.88;75.33;77.75;;;;;;HIDROVIAS;GSM - I;;BERÇO ARM 23;2;21:35;2;22:35;2;23:42;6;3:05;6.0;4:20;6.0;5:35;45000;2.0
ComDragagem2035;4794;23.0;225.0;13.25;0;0;0;2;20:54;0.0;0.0;0.42;0.42;0.0;0.0;0.0;8.85;49.28;58.17;;;;;;HIDROVIAS;GSM - I;;BERÇO ARM 22/23;2;21:20;2;22:25;3;6:31;5;7:50;5.0;8:35;5.0;9:55;70000;2.0
ComDragagem2035;4795;23.0;215.0;11.25;0;0;0;2;20:53;1.25;0.0;3.75;5.0;1.17;6.25;7.42;2.49;16.8;26.75;;;;;;SANTOSBR;CGC;;BERÇO TECON 1.1;3;1:55;3;3:10;3;4:54;3;21:45;4.0;5:55;4.0;7:05;1000;3.0
