berth_resource;TEMPO_OCUPADO;TEMPO_RESERVADO;VISITAS;SCENARIO_ID
BERÇO AL 01;1931,9300000000003;82,00999999999999;44;ComDragagem2035
BERÇO AL 02;1920,5499999999997;69,77;39;ComDragagem2035
BERÇO AL 03;1902,0699999999997;48,59;29;ComDragagem2035
BERÇO AL 04;1146,42;35,58;21;ComDragagem2035
BERÇO ARAUCO 1;1648,2299999999998;32,53;15;ComDragagem2035
BERÇO ARAUCO 2;1148,83;23,83;11;ComDragagem2035
BERÇO ARAUCO 3;853,5799999999998;17,34;8;ComDragagem2035
BERÇO ARM 12A;2021,5000000000002;39,0;26;ComDragagem2035
BERÇO ARM 13/14;2061,83;27,509999999999998;19;ComDragagem2035
BERÇO ARM 16/17;1981,8899999999999;60,0;40;ComDragagem2035
BERÇO ARM 19;1996,04;58,05;41;ComDragagem2035
BERÇO ARM 20/21;2002,25;55,26;39;ComDragagem2035
BERÇO ARM 22/23;1149,4899999999998;17,330000000000002;16;ComDragagem2035
BERÇO ARM 23;1245,58;17,0;17;ComDragagem2035
BERÇO ARM 29;2076,93;28,0;21;ComDragagem2035
BERÇO ARM 30;2038,08;14,08;15;ComDragagem2035
BERÇO ARM 31;1928,62;26,25;21;ComDragagem2035
BERÇO ARM 32;59,0;1,25;1;ComDragagem2035
BERÇO ARM 35P1;842,74;9,35;8;ComDragagem2035
BERÇO ARM 35P2;1322,0;15,0;12;ComDragagem2035
BERÇO ARM 37;1990,3399999999997;35,760000000000005;33;ComDragagem2035
BERÇO ARM 38;2067,4699999999993;18,450000000000003;17;ComDragagem2035
BERÇO ARM 39;1522,1700000000003;25,990000000000002;24;ComDragagem2035
BERÇO Ageo I;1411,9500000000005;38,32;24;ComDragagem2035
BERÇO BTP 1;1984,3800000000006;44,0;90;ComDragagem2035
BERÇO BTP 2;1981,6299999999999;51,35;92;ComDragagem2035
BERÇO BTP 3;2001,5600000000002;38,83;79;ComDragagem2035
BERÇO CUTRALE;1875,85;23,810000000000002;22;ComDragagem2035
BERÇO DOW;268,5900000000002;7,5;10;ComDragagem2035
BERÇO DPW 1;1947,3199999999997;42,730000000000004;83;ComDragagem2035
BERÇO DPW 2;1936,6399999999994;58,61;81;ComDragagem2035
BERÇO DPW 3;1676,8500000000008;131,45000000000002;83;ComDragagem2035
BERÇO DPW 4;1328,6900000000005;28,490000000000002;18;ComDragagem2035
BERÇO IB BC;1091,16;26,439999999999998;17;ComDragagem2035
BERÇO IB OE;520,0600000000002;12,67;8;ComDragagem2035
BERÇO IB SP;782,8400000000001;17,58;11;ComDragagem2035
BERÇO OUT 2;448,77000000000015;10,65;8;ComDragagem2035
BERÇO OUT 3;67,15999999999985;1,34;1;ComDragagem2035
BERÇO RUMO 1;1426,6799999999998;36,4;23;ComDragagem2035
BERÇO RUMO 2;1503,98;20,0;16;ComDragagem2035
BERÇO SAIPEM 1;899,3299999999998;14,66;16;ComDragagem2035
BERÇO SAIPEM 2;415,00000000000017;11,02;12;ComDragagem2035
BERÇO SAIPEM 3;233,90999999999985;5,5200000000000005;6;ComDragagem2035
BERÇO TEAG;2000,0800000000004;24,509999999999998;21;ComDragagem2035
BERÇO TECON 1.1;1709,1400000000003;58,75;75;ComDragagem2035
BERÇO TECON 1.2;1646,92;51,25;72;ComDragagem2035
BERÇO TECON 2;1929,2999999999997;26,42;70;ComDragagem2035
BERÇO TECON 3;1920,800000000001;25,09;74;ComDragagem2035
BERÇO TECON10 1;1822,2299999999996;70,16;66;ComDragagem2035
BERÇO TECON10 2;1743,5699999999997;75,5;61;ComDragagem2035
BERÇO TECON10 3;1681,0899999999997;73,74;59;ComDragagem2035
BERÇO TECON10 4;1587,7500000000005;70,16;58;ComDragagem2035
BERÇO TEG;1931,4899999999998;26,849999999999998;23;ComDragagem2035
BERÇO TERMAG;1891,8399999999997;16,65;20;ComDragagem2035
BERÇO TEV;1754,5500000000002;86,63000000000001;65;ComDragagem2035
BERÇO TGG;1827,5800000000004;43,199999999999996;37;ComDragagem2035
BERÇO TIPLAM 1;1688,09;48,230000000000004;21;ComDragagem2035
BERÇO TIPLAM 2;1986,1699999999994;71,86;28;ComDragagem2035
BERÇO TIPLAM 3;1982,1399999999999;77,57;30;ComDragagem2035
BERÇO TIPLAM 4;1617,9899999999998;35,41;17;ComDragagem2035
BERÇO TRSP;1055,5599999999995;26,869999999999997;14;ComDragagem2035
BERÇO USIMINAS 1;722,6700000000001;16,93;7;ComDragagem2035
BERÇO USIMINAS 2;313,92;6,58;3;ComDragagem2035
BERÇO USIMINAS 3;104,5;2,41;1;ComDragagem2035
BERÇO USIMINAS 4;36,57999999999993;2,42;1;ComDragagem2035
