SCENARIO_ID;SEGMENT_ID;HOURS_0_VESSELS;HOURS_1_VESSEL;HOURS_2_VESSELS;HOURS_3_VESSELS;HOURS_4_VESSELS;HOURS_5_VESSELS;HOURS_5PLUS_VESSELS
ComDragagem2035;1;956.17;1068.92;134.92;0.0;0.0;0.0;0.0
ComDragagem2035;2;1816.33;333.58;10.08;0.0;0.0;0.0;0.0
ComDragagem2035;3;1833.08;326.92;0.0;0.0;0.0;0.0;0.0
ComDragagem2035;4;1771.5;388.5;0.0;0.0;0.0;0.0;0.0
ComDragagem2035;5;1787.58;372.42;0.0;0.0;0.0;0.0;0.0
ComDragagem2035;6;1644.5;463.67;51.83;0.0;0.0;0.0;0.0
ComDragagem2035;7;1845.5;304.25;10.25;0.0;0.0;0.0;0.0
ComDragagem2035;8;1886.33;271.08;2.58;0.0;0.0;0.0;0.0
ComDragagem2035;9;1911.17;244.0;4.83;0.0;0.0;0.0;0.0
ComDragagem2035;10;1888.42;271.58;0.0;0.0;0.0;0.0;0.0
ComDragagem2035;11;1896.58;237.42;26.0;0.0;0.0;0.0;0.0
ComDragagem2035;12;1787.75;347.42;24.83;0.0;0.0;0.0;0.0
ComDragagem2035;13;1870.75;250.08;39.17;0.0;0.0;0.0;0.0
ComDragagem2035;14;2028.42;131.58;0.0;0.0;0.0;0.0;0.0
ComDragagem2035;15;2104.83;54.67;0.5;0.0;0.0;0.0;0.0
ComDragagem2035;16;2090.58;68.83;0.58;0.0;0.0;0.0;0.0
ComDragagem2035;17;2065.33;93.83;0.83;0.0;0.0;0.0;0.0
