SCENARIO_ID;DAY;ENTER;EXIT
ComDragagem2035;1;25,00;0,00
ComDragagem2035;2;18,00;9,00
ComDragagem2035;3;13,00;16,00
ComDragagem2035;4;31,00;16,00
ComDragagem2035;5;25,00;20,00
ComDragagem2035;6;28,00;26,00
ComDragagem2035;7;21,00;26,00
ComDragagem2035;8;27,00;28,00
ComDragagem2035;9;20,00;20,00
ComDragagem2035;10;21,00;23,00
ComDragagem2035;11;27,00;22,00
ComDragagem2035;12;25,00;24,00
ComDragagem2035;13;26,00;27,00
ComDragagem2035;14;23,00;23,00
ComDragagem2035;15;28,00;25,00
ComDragagem2035;16;22,00;27,00
ComDragagem2035;17;23,00;24,00
ComDragagem2035;18;28,00;23,00
ComDragagem2035;19;25,00;26,00
ComDragagem2035;20;27,00;24,00
ComDragagem2035;21;22,00;22,00
ComDragagem2035;22;21,00;24,00
ComDragagem2035;23;26,00;24,00
ComDragagem2035;24;22,00;29,00
ComDragagem2035;25;27,00;23,00
ComDragagem2035;26;24,00;25,00
ComDragagem2035;27;29,00;27,00
ComDragagem2035;28;27,00;26,00
ComDragagem2035;29;24,00;24,00
ComDragagem2035;30;24,00;25,00
ComDragagem2035;31;15,00;20,00
ComDragagem2035;32;22,00;19,00
ComDragagem2035;33;26,00;26,00
ComDragagem2035;34;26,00;26,00
ComDragagem2035;35;19,00;21,00
ComDragagem2035;36;24,00;23,00
ComDragagem2035;37;20,00;21,00
ComDragagem2035;38;20,00;21,00
ComDragagem2035;39;25,00;25,00
ComDragagem2035;40;16,00;18,00
ComDragagem2035;41;25,00;26,00
ComDragagem2035;42;22,00;22,00
ComDragagem2035;43;21,00;20,00
ComDragagem2035;44;20,00;21,00
ComDragagem2035;45;15,00;20,00
ComDragagem2035;46;24,00;20,00
ComDragagem2035;47;10,00;11,00
ComDragagem2035;48;1,00;4,00
ComDragagem2035;49;29,00;20,00
ComDragagem2035;50;19,00;22,00
ComDragagem2035;51;22,00;20,00
ComDragagem2035;52;22,00;21,00
ComDragagem2035;53;25,00;24,00
ComDragagem2035;54;24,00;25,00
ComDragagem2035;55;23,00;18,00
ComDragagem2035;56;25,00;27,00
ComDragagem2035;57;21,00;23,00
ComDragagem2035;58;27,00;26,00
ComDragagem2035;59;21,00;26,00
ComDragagem2035;60;21,00;22,00
ComDragagem2035;61;17,00;17,00
ComDragagem2035;62;19,00;20,00
ComDragagem2035;63;20,00;19,00
ComDragagem2035;64;22,00;26,00
ComDragagem2035;65;18,00;21,00
ComDragagem2035;66;24,00;19,00
ComDragagem2035;67;26,00;17,00
ComDragagem2035;68;23,00;24,00
ComDragagem2035;69;24,00;22,00
ComDragagem2035;70;18,00;23,00
ComDragagem2035;71;23,00;24,00
ComDragagem2035;72;22,00;25,00
ComDragagem2035;73;19,00;23,00
ComDragagem2035;74;26,00;18,00
ComDragagem2035;75;26,00;20,00
ComDragagem2035;76;18,00;24,00
ComDragagem2035;77;26,00;25,00
ComDragagem2035;78;18,00;24,00
ComDragagem2035;79;25,00;25,00
ComDragagem2035;80;16,00;20,00
ComDragagem2035;81;29,00;22,00
ComDragagem2035;82;24,00;23,00
ComDragagem2035;83;21,00;21,00
ComDragagem2035;84;22,00;25,00
ComDragagem2035;85;21,00;20,00
ComDragagem2035;86;20,00;21,00
ComDragagem2035;87;21,00;20,00
ComDragagem2035;88;28,00;22,00
ComDragagem2035;89;25,00;21,00
ComDragagem2035;90;21,00;23,00
