Day;MARKET_CATEGORY;arrivals;attended;saldo_dia;queue;SCENARIO_ID
1;CGC;14,0;12,0;2,0;2,0;ComDragagem2035
2;CGC;8,0;7,0;1,0;3,0;ComDragagem2035
3;CGC;13,0;8,0;5,0;8,0;ComDragagem2035
4;CGC;10,0;13,0;-3,0;5,0;ComDragagem2035
5;CGC;18,0;14,0;4,0;9,0;ComDragagem2035
6;CGC;15,0;14,0;1,0;10,0;ComDragagem2035
7;CGC;14,0;10,0;4,0;14,0;ComDragagem2035
8;CGC;12,0;9,0;3,0;17,0;ComDragagem2035
9;CGC;11,0;13,0;-2,0;15,0;ComDragagem2035
10;CGC;14,0;6,0;8,0;23,0;ComDragagem2035
11;CGC;8,0;14,0;-6,0;17,0;ComDragagem2035
12;CGC;17,0;14,0;3,0;20,0;ComDragagem2035
13;CGC;15,0;13,0;2,0;22,0;ComDragagem2035
14;CGC;15,0;10,0;5,0;27,0;ComDragagem2035
15;CGC;12,0;15,0;-3,0;24,0;ComDragagem2035
16;CGC;11,0;11,0;0,0;24,0;ComDragagem2035
17;CGC;12,0;12,0;0,0;24,0;ComDragagem2035
18;CGC;10,0;13,0;-3,0;21,0;ComDragagem2035
19;CGC;16,0;12,0;4,0;25,0;ComDragagem2035
20;CGC;15,0;12,0;3,0;28,0;ComDragagem2035
21;CGC;14,0;12,0;2,0;30,0;ComDragagem2035
22;CGC;15,0;12,0;3,0;33,0;ComDragagem2035
23;CGC;10,0;14,0;-4,0;29,0;ComDragagem2035
24;CGC;14,0;9,0;5,0;34,0;ComDragagem2035
25;CGC;8,0;14,0;-6,0;28,0;ComDragagem2035
26;CGC;14,0;15,0;-1,0;27,0;ComDragagem2035
27;CGC;15,0;14,0;1,0;28,0;ComDragagem2035
28;CGC;13,0;13,0;0,0;28,0;ComDragagem2035
29;CGC;12,0;12,0;0,0;28,0;ComDragagem2035
30;CGC;8,0;9,0;-1,0;27,0;ComDragagem2035
31;CGC;12,0;8,0;4,0;31,0;ComDragagem2035
32;CGC;10,0;9,0;1,0;32,0;ComDragagem2035
33;CGC;8,0;13,0;-5,0;27,0;ComDragagem2035
34;CGC;11,0;12,0;-1,0;26,0;ComDragagem2035
35;CGC;17,0;12,0;5,0;31,0;ComDragagem2035
36;CGC;17,0;13,0;4,0;35,0;ComDragagem2035
37;CGC;11,0;10,0;1,0;36,0;ComDragagem2035
38;CGC;10,0;10,0;0,0;36,0;ComDragagem2035
39;CGC;10,0;14,0;-4,0;32,0;ComDragagem2035
40;CGC;5,0;6,0;-1,0;31,0;ComDragagem2035
41;CGC;14,0;14,0;0,0;31,0;ComDragagem2035
42;CGC;15,0;9,0;6,0;37,0;ComDragagem2035
43;CGC;18,0;13,0;5,0;42,0;ComDragagem2035
44;CGC;11,0;11,0;0,0;42,0;ComDragagem2035
45;CGC;11,0;10,0;1,0;43,0;ComDragagem2035
46;CGC;10,0;12,0;-2,0;41,0;ComDragagem2035
47;CGC;7,0;4,0;3,0;44,0;ComDragagem2035
48;CGC;12,0;1,0;11,0;55,0;ComDragagem2035
49;CGC;17,0;14,0;3,0;58,0;ComDragagem2035
50;CGC;17,0;9,0;8,0;66,0;ComDragagem2035
51;CGC;8,0;13,0;-5,0;61,0;ComDragagem2035
52;CGC;13,0;12,0;1,0;62,0;ComDragagem2035
53;CGC;10,0;11,0;-1,0;61,0;ComDragagem2035
54;CGC;5,0;11,0;-6,0;55,0;ComDragagem2035
55;CGC;13,0;14,0;-1,0;54,0;ComDragagem2035
56;CGC;17,0;11,0;6,0;60,0;ComDragagem2035
57;CGC;15,0;14,0;1,0;61,0;ComDragagem2035
58;CGC;10,0;11,0;-1,0;60,0;ComDragagem2035
59;CGC;9,0;12,0;-3,0;57,0;ComDragagem2035
60;CGC;9,0;10,0;-1,0;56,0;ComDragagem2035
61;CGC;6,0;8,0;-2,0;54,0;ComDragagem2035
62;CGC;10,0;11,0;-1,0;53,0;ComDragagem2035
63;CGC;8,0;11,0;-3,0;50,0;ComDragagem2035
64;CGC;14,0;11,0;3,0;53,0;ComDragagem2035
65;CGC;15,0;8,0;7,0;60,0;ComDragagem2035
66;CGC;16,0;8,0;8,0;68,0;ComDragagem2035
67;CGC;15,0;14,0;1,0;69,0;ComDragagem2035
68;CGC;12,0;12,0;0,0;69,0;ComDragagem2035
69;CGC;8,0;16,0;-8,0;61,0;ComDragagem2035
70;CGC;7,0;10,0;-3,0;58,0;ComDragagem2035
71;CGC;14,0;12,0;2,0;60,0;ComDragagem2035
72;CGC;15,0;12,0;3,0;63,0;ComDragagem2035
73;CGC;14,0;8,0;6,0;69,0;ComDragagem2035
74;CGC;15,0;12,0;3,0;72,0;ComDragagem2035
75;CGC;10,0;14,0;-4,0;68,0;ComDragagem2035
76;CGC;9,0;11,0;-2,0;66,0;ComDragagem2035
77;CGC;8,0;13,0;-5,0;61,0;ComDragagem2035
78;CGC;13,0;10,0;3,0;64,0;ComDragagem2035
79;CGC;16,0;12,0;4,0;68,0;ComDragagem2035
80;CGC;16,0;11,0;5,0;73,0;ComDragagem2035
81;CGC;14,0;13,0;1,0;74,0;ComDragagem2035
82;CGC;9,0;12,0;-3,0;71,0;ComDragagem2035
83;CGC;9,0;13,0;-4,0;67,0;ComDragagem2035
84;CGC;9,0;12,0;-3,0;64,0;ComDragagem2035
85;CGC;13,0;13,0;0,0;64,0;ComDragagem2035
86;CGC;15,0;11,0;4,0;68,0;ComDragagem2035
87;CGC;16,0;6,0;10,0;78,0;ComDragagem2035
88;CGC;13,0;13,0;0,0;78,0;ComDragagem2035
89;CGC;8,0;12,0;-4,0;74,0;ComDragagem2035
90;CGC;7,0;13,0;-6,0;68,0;ComDragagem2035
91;CGC;6,0;0,0;6,0;74,0;ComDragagem2035
92;CGC;14,0;0,0;14,0;88,0;ComDragagem2035
1;CGNC;0,0;0,0;0,0;0,0;ComDragagem2035
2;CGNC;5,0;5,0;0,0;0,0;ComDragagem2035
3;CGNC;1,0;0,0;1,0;1,0;ComDragagem2035
4;CGNC;3,0;4,0;-1,0;0,0;ComDragagem2035
5;CGNC;2,0;2,0;0,0;0,0;ComDragagem2035
6;CGNC;6,0;3,0;3,0;3,0;ComDragagem2035
7;CGNC;2,0;3,0;-1,0;2,0;ComDragagem2035
8;CGNC;0,0;2,0;-2,0;0,0;ComDragagem2035
9;CGNC;2,0;2,0;0,0;0,0;ComDragagem2035
10;CGNC;2,0;1,0;1,0;1,0;ComDragagem2035
11;CGNC;2,0;2,0;0,0;1,0;ComDragagem2035
12;CGNC;3,0;4,0;-1,0;0,0;ComDragagem2035
13;CGNC;2,0;2,0;0,0;0,0;ComDragagem2035
14;CGNC;1,0;1,0;0,0;0,0;ComDragagem2035
15;CGNC;2,0;2,0;0,0;0,0;ComDragagem2035
16;CGNC;1,0;1,0;0,0;0,0;ComDragagem2035
17;CGNC;3,0;3,0;0,0;0,0;ComDragagem2035
18;CGNC;4,0;4,0;0,0;0,0;ComDragagem2035
19;CGNC;2,0;2,0;0,0;0,0;ComDragagem2035
20;CGNC;5,0;3,0;2,0;2,0;ComDragagem2035
21;CGNC;3,0;3,0;0,0;2,0;ComDragagem2035
22;CGNC;0,0;1,0;-1,0;1,0;ComDragagem2035
23;CGNC;1,0;1,0;0,0;1,0;ComDragagem2035
24;CGNC;2,0;2,0;0,0;1,0;ComDragagem2035
25;CGNC;4,0;2,0;2,0;3,0;ComDragagem2035
26;CGNC;6,0;3,0;3,0;6,0;ComDragagem2035
