VESSEL_BEAM;VESSEL_LOA;VESSEL_DRAFT;VESSEL_EXIT_DRAFT;DIRECTION;ARRIVAL_HOUR;ARRIVAL_MINUTE;ARRIVAL_WEEKDAY;ARRIVAL_WEEKDAY_NUM;ARRIVAL_DAY;DANGEROUS_FLAG;PASSENGER_FLAG;RORO_FLAG;TONNAGE;SERVICE_DURATION;WAIT_FOR_SERVICE;WAIT_FOR_UNDOCK;ARRIVAL_MONTH;ARRIVAL_MONTH_NUM;TERMINAL;TERMINAL_ID;VESSEL_SIZE_CATEGORY;VESSEL_MARKET_CATEGORY;ARRIVAL_ID;DEMAND_SCENARIO
23.0;185.0;9.75;9.75;3.0;9;24;WED;2;1;False;False;False;1000;16.8;1.47;0.75;JAN;1;TECON10;3;FULLYCELLULAR;CGC;1;D203517_newpanamax
23.0;265.0;10.25;10.25;3.0;6;18;WED;2;1;False;False;False;3000;15.61;2.6;0.75;JAN;1;TECON10;3;PANAMAX;CGC;2;D203517_newpanamax
23.0;135.0;7.75;7.75;3.0;6;18;WED;2;1;False;False;False;500;20.71;5.14;0.75;JAN;1;BTP;13;FEEDER/EARLY;CGC;3;D203517_newpanamax
23.0;215.0;8.75;8.75;3.0;8;23;WED;2;1;False;False;False;1000;13.85;2.54;0.75;JAN;1;BTP;13;FULLYCELLULAR;CGC;4;D203517_newpanamax
23.0;215.0;9.75;9.75;3.0;11;29;WED;2;1;False;False;False;1000;13.38;1.9;0.75;JAN;1;DPW - CGC;21;FULLYCELLULAR;CGC;5;D203517_newpanamax
23.0;255.0;10.75;10.75;3.0;9;25;WED;2;1;False;False;False;3000;17.86;1.32;0.75;JAN;1;DPW - CGC;21;PANAMAX;CGC;6;D203517_newpanamax
36.0;225.0;0.0;13.0;1.0;8;22;WED;2;1;False;False;False;55000;36.9;3.79;0.75;JAN;1;ELDORADO;23;NAVIOCARGAGERAL;CGNC;7;D203517_newpanamax
23.0;185.0;9.75;9.75;3.0;10;28;WED;2;1;False;False;False;1000;16.8;0.9;0.75;JAN;1;SANTOSBR;31;FULLYCELLULAR;CGC;8;D203517_newpanamax
23.0;275.0;10.75;10.75;3.0;10;26;WED;2;1;False;False;False;3000;15.61;1.82;0.75;JAN;1;SANTOSBR;31;PANAMAX;CGC;9;D203517_newpanamax
23.0;195.0;8.75;8.75;3.0;9;27;WED;2;1;False;False;True;1500;20.97;1.23;0.75;JAN;1;TEV;37;CARGARO-RO;RORO;10;D203517_newpanamax
18.0;85.34;4.2;5.5;1.0;18;5;0;2;1;False;False;False;0;70.42;0.08;0.75;0;1;TUP - Saipem;8;HANDYSIZE;CGNC;11;D203517_newpanamax
23.0;155.0;8.75;0.0;2.0;13;33;THU;3;2;False;False;False;18000;42.57;10.13;0.75;JAN;1;STS;2;GPGENERALPURPOSE;GL;12;D203517_newpanamax
23.0;295.0;12.25;12.25;3.0;11;31;THU;3;2;False;False;False;4000;21.3;1.97;0.75;JAN;1;TECON10;3;POST-PANAMAXI;CGC;13;D203517_newpanamax
23.0;175.0;8.75;0.0;2.0;11;34;THU;3;2;False;False;False;35000;37.45;7.83;0.75;JAN;1;ADONAI;10;MRMEDIUMRANGE;GL;14;D203517_newpanamax
