Day;arrivals;attended;saldo_dia;queue;SCENARIO_ID
1;29;25,0;4,0;4,0;ComDragagem2035
2;26;18,0;8,0;12,0;ComDragagem2035
3;23;13,0;10,0;22,0;ComDragagem2035
4;34;31,0;3,0;25,0;ComDragagem2035
5;37;25,0;12,0;37,0;ComDragagem2035
6;39;28,0;11,0;48,0;ComDragagem2035
7;34;21,0;13,0;61,0;ComDragagem2035
8;30;27,0;3,0;64,0;ComDragagem2035
9;28;20,0;8,0;72,0;ComDragagem2035
10;25;21,0;4,0;76,0;ComDragagem2035
11;32;27,0;5,0;81,0;ComDragagem2035
12;38;25,0;13,0;94,0;ComDragagem2035
13;37;26,0;11,0;105,0;ComDragagem2035
14;34;23,0;11,0;116,0;ComDragagem2035
15;30;28,0;2,0;118,0;ComDragagem2035
16;27;22,0;5,0;123,0;ComDragagem2035
17;25;23,0;2,0;125,0;ComDragagem2035
18;33;28,0;5,0;130,0;ComDragagem2035
19;36;25,0;11,0;141,0;ComDragagem2035
20;37;27,0;10,0;151,0;ComDragagem2035
21;35;22,0;13,0;164,0;ComDragagem2035
22;30;21,0;9,0;173,0;ComDragagem2035
23;26;26,0;0,0;173,0;ComDragagem2035
24;25;22,0;3,0;176,0;ComDragagem2035
25;32;27,0;5,0;181,0;ComDragagem2035
26;38;24,0;14,0;195,0;ComDragagem2035
27;38;29,0;9,0;204,0;ComDragagem2035
28;33;27,0;6,0;210,0;ComDragagem2035
29;30;24,0;6,0;216,0;ComDragagem2035
30;27;24,0;3,0;219,0;ComDragagem2035
31;23;15,0;8,0;227,0;ComDragagem2035
32;23;22,0;1,0;228,0;ComDragagem2035
33;16;26,0;-10,0;218,0;ComDragagem2035
34;25;26,0;-1,0;217,0;ComDragagem2035
35;27;19,0;8,0;225,0;ComDragagem2035
36;29;24,0;5,0;230,0;ComDragagem2035
37;24;20,0;4,0;234,0;ComDragagem2035
38;21;20,0;1,0;235,0;ComDragagem2035
39;24;25,0;-1,0;234,0;ComDragagem2035
40;14;16,0;-2,0;232,0;ComDragagem2035
41;23;25,0;-2,0;230,0;ComDragagem2035
42;28;22,0;6,0;236,0;ComDragagem2035
43;29;21,0;8,0;244,0;ComDragagem2035
44;22;20,0;2,0;246,0;ComDragagem2035
45;20;15,0;5,0;251,0;ComDragagem2035
46;23;24,0;-1,0;250,0;ComDragagem2035
47;15;10,0;5,0;255,0;ComDragagem2035
48;23;1,0;22,0;277,0;ComDragagem2035
49;28;29,0;-1,0;276,0;ComDragagem2035
50;30;19,0;11,0;287,0;ComDragagem2035
51;24;22,0;2,0;289,0;ComDragagem2035
52;20;22,0;-2,0;287,0;ComDragagem2035
53;25;25,0;0,0;287,0;ComDragagem2035
54;15;24,0;-9,0;278,0;ComDragagem2035
55;25;23,0;2,0;280,0;ComDragagem2035
56;28;25,0;3,0;283,0;ComDragagem2035
57;29;21,0;8,0;291,0;ComDragagem2035
58;24;27,0;-3,0;288,0;ComDragagem2035
59;21;21,0;0,0;288,0;ComDragagem2035
60;23;21,0;2,0;290,0;ComDragagem2035
61;16;17,0;-1,0;289,0;ComDragagem2035
62;16;19,0;-3,0;286,0;ComDragagem2035
63;17;20,0;-3,0;283,0;ComDragagem2035
64;27;22,0;5,0;288,0;ComDragagem2035
65;27;18,0;9,0;297,0;ComDragagem2035
66;28;24,0;4,0;301,0;ComDragagem2035
67;30;26,0;4,0;305,0;ComDragagem2035
68;24;23,0;1,0;306,0;ComDragagem2035
69;16;24,0;-8,0;298,0;ComDragagem2035
70;16;18,0;-2,0;296,0;ComDragagem2035
71;26;23,0;3,0;299,0;ComDragagem2035
72;27;22,0;5,0;304,0;ComDragagem2035
73;28;19,0;9,0;313,0;ComDragagem2035
74;30;26,0;4,0;317,0;ComDragagem2035
75;25;26,0;-1,0;316,0;ComDragagem2035
76;16;18,0;-2,0;314,0;ComDragagem2035
77;17;26,0;-9,0;305,0;ComDragagem2035
78;26;18,0;8,0;313,0;ComDragagem2035
79;26;25,0;1,0;314,0;ComDragagem2035
80;29;16,0;13,0;327,0;ComDragagem2035
81;30;29,0;1,0;328,0;ComDragagem2035
82;25;24,0;1,0;329,0;ComDragagem2035
83;16;21,0;-5,0;324,0;ComDragagem2035
84;17;22,0;-5,0;319,0;ComDragagem2035
85;26;21,0;5,0;324,0;ComDragagem2035
86;27;20,0;7,0;331,0;ComDragagem2035
87;30;21,0;9,0;340,0;ComDragagem2035
88;30;28,0;2,0;342,0;ComDragagem2035
89;26;25,0;1,0;343,0;ComDragagem2035
90;17;21,0;-4,0;339,0;ComDragagem2035
91;17;0,0;17,0;356,0;ComDragagem2035
92;26;0,0;26,0;382,0;ComDragagem2035
