SCENARIO_ID;N_VESSELS;MONTH;HOURS
2SemDragagem2030;0;2025-08;117.42
2SemDragagem2030;1;2025-08;194.08
2SemDragagem2030;2;2025-08;175.0
2SemDragagem2030;3;2025-08;126.75
2SemDragagem2030;4;2025-08;72.17
2SemDragagem2030;5;2025-08;39.5
2SemDragagem2030;5+;2025-08;19.08
2SemDragagem2030;0;2025-09;103.25
2SemDragagem2030;1;2025-09;208.92
2SemDragagem2030;2;2025-09;190.25
2SemDragagem2030;3;2025-09;121.92
2SemDragagem2030;4;2025-09;61.42
2SemDragagem2030;5;2025-09;24.75
2SemDragagem2030;5+;2025-09;9.5
2SemDragagem2030;0;2025-10;98.67
2SemDragagem2030;1;2025-10;196.17
2SemDragagem2030;2;2025-10;179.75
2SemDragagem2030;3;2025-10;121.42
2SemDragagem2030;4;2025-10;62.33
2SemDragagem2030;5;2025-10;23.0
2SemDragagem2030;5+;2025-10;14.67
