SCENARIO_ID;DAY;ENTER;EXIT
2SemDragagem2030;1;19,00;0,00
2SemDragagem2030;2;15,00;4,00
2SemDragagem2030;3;6,00;8,00
2SemDragagem2030;4;24,00;10,00
2SemDragagem2030;5;20,00;15,00
2SemDragagem2030;6;19,00;21,00
2SemDragagem2030;7;18,00;19,00
2SemDragagem2030;8;13,00;18,00
2SemDragagem2030;9;20,00;16,00
2SemDragagem2030;10;18,00;22,00
2SemDragagem2030;11;18,00;14,00
2SemDragagem2030;12;23,00;20,00
2SemDragagem2030;13;16,00;18,00
2SemDragagem2030;14;20,00;22,00
2SemDragagem2030;15;22,00;23,00
2SemDragagem2030;16;15,00;18,00
2SemDragagem2030;17;19,00;16,00
2SemDragagem2030;18;20,00;16,00
2SemDragagem2030;19;14,00;18,00
2SemDragagem2030;20;17,00;17,00
2SemDragagem2030;21;23,00;21,00
2SemDragagem2030;22;24,00;21,00
2SemDragagem2030;23;18,00;20,00
2SemDragagem2030;24;13,00;18,00
2SemDragagem2030;25;20,00;19,00
2SemDragagem2030;26;22,00;23,00
2SemDragagem2030;27;20,00;20,00
2SemDragagem2030;28;20,00;20,00
2SemDragagem2030;29;17,00;15,00
2SemDragagem2030;30;21,00;20,00
2SemDragagem2030;31;10,00;11,00
2SemDragagem2030;32;13,00;14,00
2SemDragagem2030;33;10,00;11,00
2SemDragagem2030;34;13,00;14,00
2SemDragagem2030;35;20,00;17,00
2SemDragagem2030;36;15,00;14,00
2SemDragagem2030;37;18,00;20,00
2SemDragagem2030;38;18,00;19,00
2SemDragagem2030;39;19,00;16,00
2SemDragagem2030;40;19,00;21,00
2SemDragagem2030;41;16,00;14,00
2SemDragagem2030;42;18,00;21,00
2SemDragagem2030;43;18,00;18,00
2SemDragagem2030;44;18,00;19,00
2SemDragagem2030;45;16,00;21,00
2SemDragagem2030;46;14,00;13,00
2SemDragagem2030;47;7,00;7,00
2SemDragagem2030;48;2,00;1,00
2SemDragagem2030;49;31,00;27,00
2SemDragagem2030;50;12,00;14,00
2SemDragagem2030;51;15,00;15,00
2SemDragagem2030;52;18,00;18,00
2SemDragagem2030;53;20,00;18,00
2SemDragagem2030;54;17,00;18,00
2SemDragagem2030;55;19,00;16,00
2SemDragagem2030;56;15,00;20,00
2SemDragagem2030;57;22,00;19,00
2SemDragagem2030;58;17,00;19,00
2SemDragagem2030;59;13,00;14,00
2SemDragagem2030;60;13,00;13,00
2SemDragagem2030;61;24,00;20,00
2SemDragagem2030;62;15,00;17,00
2SemDragagem2030;63;16,00;16,00
2SemDragagem2030;64;9,00;11,00
2SemDragagem2030;65;19,00;21,00
2SemDragagem2030;66;14,00;13,00
2SemDragagem2030;67;21,00;18,00
2SemDragagem2030;68;15,00;17,00
2SemDragagem2030;69;18,00;15,00
2SemDragagem2030;70;12,00;17,00
2SemDragagem2030;71;13,00;16,00
2SemDragagem2030;72;19,00;14,00
2SemDragagem2030;73;14,00;15,00
2SemDragagem2030;74;20,00;14,00
2SemDragagem2030;75;25,00;21,00
2SemDragagem2030;76;14,00;18,00
2SemDragagem2030;77;19,00;19,00
2SemDragagem2030;78;14,00;22,00
2SemDragagem2030;79;19,00;19,00
2SemDragagem2030;80;21,00;17,00
2SemDragagem2030;81;16,00;11,00
2SemDragagem2030;82;20,00;19,00
2SemDragagem2030;83;19,00;21,00
2SemDragagem2030;84;11,00;12,00
2SemDragagem2030;85;16,00;19,00
2SemDragagem2030;86;13,00;12,00
2SemDragagem2030;87;21,00;20,00
2SemDragagem2030;88;17,00;18,00
2SemDragagem2030;89;22,00;20,00
2SemDragagem2030;90;15,00;13,00
