SCENARIO_ID;SEGMENT_ID;HOURS_0_VESSELS;HOURS_1_VESSEL;HOURS_2_VESSELS;HOURS_3_VESSELS;HOURS_4_VESSELS;HOURS_5_VESSELS;HOURS_5PLUS_VESSELS
2SemDragagem2030;1;1229.25;848.17;82.58;0.0;0.0;0.0;0.0
2SemDragagem2030;2;1891.17;263.25;5.58;0.0;0.0;0.0;0.0
2SemDragagem2030;3;1912.25;247.75;0.0;0.0;0.0;0.0;0.0
2SemDragagem2030;4;1852.42;307.58;0.0;0.0;0.0;0.0;0.0
2SemDragagem2030;5;1865.08;294.92;0.0;0.0;0.0;0.0;0.0
2SemDragagem2030;6;1763.08;361.92;35.0;0.0;0.0;0.0;0.0
2SemDragagem2030;7;1919.17;236.5;4.33;0.0;0.0;0.0;0.0
2SemDragagem2030;8;1946.42;211.83;1.75;0.0;0.0;0.0;0.0
2SemDragagem2030;9;1976.33;181.5;2.17;0.0;0.0;0.0;0.0
2SemDragagem2030;10;1988.67;171.33;0.0;0.0;0.0;0.0;0.0
2SemDragagem2030;11;1964.08;174.67;21.25;0.0;0.0;0.0;0.0
2SemDragagem2030;12;2040.92;119.08;0.0;0.0;0.0;0.0;0.0
2SemDragagem2030;13;1947.08;189.08;23.83;0.0;0.0;0.0;0.0
2SemDragagem2030;14;2023.42;136.58;0.0;0.0;0.0;0.0;0.0
2SemDragagem2030;15;2106.67;53.08;0.25;0.0;0.0;0.0;0.0
2SemDragagem2030;16;2109.58;49.83;0.58;0.0;0.0;0.0;0.0
2SemDragagem2030;17;2068.5;90.83;0.67;0.0;0.0;0.0;0.0
