SCENARIO_ID;SEGMENT_ID;HOURS_0_VESSELS;HOURS_1_VESSEL;HOURS_2_VESSELS;HOURS_3_VESSELS;HOURS_4_VESSELS;HOURS_5_VESSELS;HOURS_5PLUS_VESSELS
2SemDragagem2030;1;212.08;134.83;12.75;0.33;0.0;0.0;0.0
2SemDragagem2030;2;315.17;43.58;1.25;0.0;0.0;0.0;0.0
2SemDragagem2030;3;321.25;38.75;0.0;0.0;0.0;0.0;0.0
2SemDragagem2030;4;311.25;48.5;0.25;0.0;0.0;0.0;0.0
2SemDragagem2030;5;314.17;45.83;0.0;0.0;0.0;0.0;0.0
2SemDragagem2030;6;297.5;56.58;5.92;0.0;0.0;0.0;0.0
2SemDragagem2030;7;321.92;37.17;0.92;0.0;0.0;0.0;0.0
2SemDragagem2030;8;326.92;32.83;0.25;0.0;0.0;0.0;0.0
2SemDragagem2030;9;330.92;28.58;0.5;0.0;0.0;0.0;0.0
2SemDragagem2030;10;334.42;25.58;0.0;0.0;0.0;0.0;0.0
2SemDragagem2030;11;326.58;31.17;2.25;0.0;0.0;0.0;0.0
2SemDragagem2030;12;339.92;20.08;0.0;0.0;0.0;0.0;0.0
2SemDragagem2030;13;327.0;29.5;3.5;0.0;0.0;0.0;0.0
2SemDragagem2030;14;343.75;16.25;0.0;0.0;0.0;0.0;0.0
2SemDragagem2030;15;349.5;10.42;0.08;0.0;0.0;0.0;0.0
2SemDragagem2030;16;351.67;8.17;0.17;0.0;0.0;0.0;0.0
2SemDragagem2030;17;344.33;15.67;0.0;0.0;0.0;0.0;0.0
