Day;arrivals;attended;saldo_dia;queue;SCENARIO_ID
1;26;22,0;4,0;4,0;2SemDragagem20302
2;23;9,0;14,0;18,0;2SemDragagem20302
3;21;6,0;15,0;33,0;2SemDragagem20302
4;31;24,0;7,0;40,0;2SemDragagem20302
5;29;18,0;11,0;51,0;2SemDragagem20302
6;31;27,0;4,0;55,0;2SemDragagem20302
7;30;17,0;13,0;68,0;2SemDragagem20302
8;26;17,0;9,0;77,0;2SemDragagem20302
9;25;23,0;2,0;79,0;2SemDragagem20302
10;22;15,0;7,0;86,0;2SemDragagem20302
11;28;23,0;5,0;91,0;2SemDragagem20302
12;30;27,0;3,0;94,0;2SemDragagem20302
13;29;17,0;12,0;106,0;2SemDragagem20302
14;31;22,0;9,0;115,0;2SemDragagem20302
15;26;21,0;5,0;120,0;2SemDragagem20302
16;23;18,0;5,0;125,0;2SemDragagem20302
17;22;18,0;4,0;129,0;2SemDragagem20302
18;29;24,0;5,0;134,0;2SemDragagem20302
19;28;20,0;8,0;142,0;2SemDragagem20302
20;29;24,0;5,0;147,0;2SemDragagem20302
21;32;16,0;16,0;163,0;2SemDragagem20302
22;26;23,0;3,0;166,0;2SemDragagem20302
23;23;18,0;5,0;171,0;2SemDragagem20302
24;22;21,0;1,0;172,0;2SemDragagem20302
25;29;18,0;11,0;183,0;2SemDragagem20302
26;28;22,0;6,0;189,0;2SemDragagem20302
27;30;24,0;6,0;195,0;2SemDragagem20302
28;30;16,0;14,0;209,0;2SemDragagem20302
29;26;24,0;2,0;211,0;2SemDragagem20302
30;23;18,0;5,0;216,0;2SemDragagem20302
31;21;11,0;10,0;226,0;2SemDragagem20302
32;21;16,0;5,0;231,0;2SemDragagem20302
33;14;12,0;2,0;233,0;2SemDragagem20302
34;20;17,0;3,0;236,0;2SemDragagem20302
35;22;20,0;2,0;238,0;2SemDragagem20302
36;21;21,0;0,0;238,0;2SemDragagem20302
37;21;13,0;8,0;246,0;2SemDragagem20302
38;16;17,0;-1,0;245,0;2SemDragagem20302
39;22;17,0;5,0;250,0;2SemDragagem20302
40;13;18,0;-5,0;245,0;2SemDragagem20302
41;19;20,0;-1,0;244,0;2SemDragagem20302
42;22;21,0;1,0;245,0;2SemDragagem20302
43;20;18,0;2,0;247,0;2SemDragagem20302
44;20;19,0;1,0;248,0;2SemDragagem20302
45;15;16,0;-1,0;247,0;2SemDragagem20302
46;21;14,0;7,0;254,0;2SemDragagem20302
47;13;9,0;4,0;258,0;2SemDragagem20302
48;19;2,0;17,0;275,0;2SemDragagem20302
49;24;34,0;-10,0;265,0;2SemDragagem20302
50;20;11,0;9,0;274,0;2SemDragagem20302
51;21;18,0;3,0;277,0;2SemDragagem20302
52;15;19,0;-4,0;273,0;2SemDragagem20302
53;22;17,0;5,0;278,0;2SemDragagem20302
54;12;19,0;-7,0;271,0;2SemDragagem20302
55;21;22,0;-1,0;270,0;2SemDragagem20302
56;23;17,0;6,0;276,0;2SemDragagem20302
57;21;22,0;-1,0;275,0;2SemDragagem20302
58;21;16,0;5,0;280,0;2SemDragagem20302
59;16;14,0;2,0;282,0;2SemDragagem20302
60;20;14,0;6,0;288,0;2SemDragagem20302
61;13;26,0;-13,0;275,0;2SemDragagem20302
62;13;13,0;0,0;275,0;2SemDragagem20302
63;13;12,0;1,0;276,0;2SemDragagem20302
64;21;24,0;-3,0;273,0;2SemDragagem20302
65;22;17,0;5,0;278,0;2SemDragagem20302
66;24;20,0;4,0;282,0;2SemDragagem20302
67;27;18,0;9,0;291,0;2SemDragagem20302
68;18;16,0;2,0;293,0;2SemDragagem20302
69;13;20,0;-7,0;286,0;2SemDragagem20302
70;14;18,0;-4,0;282,0;2SemDragagem20302
71;20;16,0;4,0;286,0;2SemDragagem20302
72;21;15,0;6,0;292,0;2SemDragagem20302
73;24;18,0;6,0;298,0;2SemDragagem20302
74;27;27,0;0,0;298,0;2SemDragagem20302
75;19;18,0;1,0;299,0;2SemDragagem20302
76;13;20,0;-7,0;292,0;2SemDragagem20302
77;14;15,0;-1,0;291,0;2SemDragagem20302
78;20;20,0;0,0;291,0;2SemDragagem20302
79;22;18,0;4,0;295,0;2SemDragagem20302
80;23;17,0;6,0;301,0;2SemDragagem20302
81;27;22,0;5,0;306,0;2SemDragagem20302
82;19;20,0;-1,0;305,0;2SemDragagem20302
83;13;15,0;-2,0;303,0;2SemDragagem20302
84;14;20,0;-6,0;297,0;2SemDragagem20302
85;20;19,0;1,0;298,0;2SemDragagem20302
86;21;12,0;9,0;307,0;2SemDragagem20302
87;25;21,0;4,0;311,0;2SemDragagem20302
88;26;24,0;2,0;313,0;2SemDragagem20302
89;20;23,0;-3,0;310,0;2SemDragagem20302
90;14;17,0;-3,0;307,0;2SemDragagem20302
91;14;0,0;14,0;321,0;2SemDragagem20302
92;21;0,0;21,0;342,0;2SemDragagem20302
