VESSEL_BEAM;VESSEL_LOA;VESSEL_DRAFT;VESSEL_EXIT_DRAFT;DIRECTION;ARRIVAL_HOUR;ARRIVAL_MINUTE;ARRIVAL_WEEKDAY;ARRIVAL_WEEKDAY_NUM;ARRIVAL_DAY;DANGEROUS_FLAG;PASSENGER_FLAG;RORO_FLAG;TONNAGE;SERVICE_DURATION;WAIT_FOR_SERVICE;WAIT_FOR_UNDOCK;ARRIVAL_MONTH;ARRIVAL_MONTH_NUM;TERMINAL;TERMINAL_ID;VESSEL_SIZE_CATEGORY;VESSEL_MARKET_CATEGORY;ARRIVAL_ID;DEMAND_SCENARIO
23.0;295.0;11.75;11.75;3.0;6;18;WED;2;1;False;False;False;4000;20.66;0.88;0.75;JAN;1;BTP;13;POST-PANAMAXI;CGC;1;D2030_215_newpanamax
23.0;215.0;9.75;9.75;3.0;9;25;WED;2;1;False;False;False;1000;13.38;3.26;0.75;JAN;1;DPW - CGC;21;FULLYCELLULAR;CGC;2;D2030_215_newpanamax
23.0;305.0;11.75;11.75;3.0;9;25;WED;2;1;False;False;False;4000;21.93;2.18;0.75;JAN;1;DPW - CGC;21;POST-PANAMAXI;CGC;3;D2030_215_newpanamax
23.0;215.0;9.25;9.25;3.0;7;20;WED;2;1;False;False;False;1000;16.8;2.6;0.75;JAN;1;SANTOSBR;31;FULLYCELLULAR;CGC;4;D2030_215_newpanamax
23.0;275.0;10.75;10.75;3.0;10;25;WED;2;1;False;False;False;3000;15.61;1.61;0.75;JAN;1;SANTOSBR;31;PANAMAX;CGC;5;D2030_215_newpanamax
23.0;225.0;0.0;13.25;1.0;7;17;WED;2;1;False;False;False;70000;78.07;0.6;0.75;JAN;1;TEG;34;PANAMAX;GSA - E;6;D2030_215_newpanamax
23.0;165.0;9.75;0.0;2.0;8;9;WED;2;1;False;False;False;18000;18.55;3.6;0.75;JAN;1;TIPLAM - GL;40;GPGENERALPURPOSE;GL;7;D2030_215_newpanamax
18.0;85.34;4.2;5.5;1.0;18;5;0;2;1;False;False;False;0;70.42;0.08;0.75;0;1;TUP - Saipem;8;HANDYSIZE;CGNC;8;D2030_215_newpanamax
23.0;225.0;0.0;13.25;1.0;12;28;THU;3;2;False;False;False;70000;51.12;6.43;0.75;JAN;1;ADM;9;PANAMAX;GSA - E;9;D2030_215_newpanamax
23.0;175.0;8.75;0.0;2.0;11;34;THU;3;2;False;False;False;35000;37.45;6.66;0.75;JAN;1;ADONAI;10;MRMEDIUMRANGE;GL;10;D2030_215_newpanamax
