SCENARIO_ID;DAY;ENTER;EXIT
2SemDragagem20302;1;22,00;0,00
2SemDragagem20302;2;9,00;6,00
2SemDragagem20302;3;6,00;7,00
2SemDragagem20302;4;24,00;9,00
2SemDragagem20302;5;18,00;16,00
2SemDragagem20302;6;27,00;18,00
2SemDragagem20302;7;17,00;25,00
2SemDragagem20302;8;17,00;18,00
2SemDragagem20302;9;23,00;20,00
2SemDragagem20302;10;15,00;19,00
2SemDragagem20302;11;23,00;17,00
2SemDragagem20302;12;27,00;23,00
2SemDragagem20302;13;17,00;22,00
2SemDragagem20302;14;22,00;22,00
2SemDragagem20302;15;21,00;20,00
2SemDragagem20302;16;18,00;22,00
2SemDragagem20302;17;18,00;20,00
2SemDragagem20302;18;24,00;22,00
2SemDragagem20302;19;20,00;18,00
2SemDragagem20302;20;24,00;20,00
2SemDragagem20302;21;16,00;18,00
2SemDragagem20302;22;23,00;21,00
2SemDragagem20302;23;18,00;19,00
2SemDragagem20302;24;21,00;22,00
2SemDragagem20302;25;18,00;19,00
2SemDragagem20302;26;22,00;21,00
2SemDragagem20302;27;24,00;25,00
2SemDragagem20302;28;16,00;12,00
2SemDragagem20302;29;24,00;23,00
2SemDragagem20302;30;18,00;23,00
2SemDragagem20302;31;11,00;15,00
2SemDragagem20302;32;16,00;20,00
2SemDragagem20302;33;12,00;10,00
2SemDragagem20302;34;17,00;16,00
2SemDragagem20302;35;20,00;21,00
2SemDragagem20302;36;21,00;20,00
2SemDragagem20302;37;13,00;15,00
2SemDragagem20302;38;17,00;16,00
2SemDragagem20302;39;17,00;17,00
2SemDragagem20302;40;18,00;18,00
2SemDragagem20302;41;20,00;18,00
2SemDragagem20302;42;21,00;20,00
2SemDragagem20302;43;18,00;18,00
2SemDragagem20302;44;19,00;21,00
2SemDragagem20302;45;16,00;16,00
2SemDragagem20302;46;14,00;18,00
2SemDragagem20302;47;9,00;7,00
2SemDragagem20302;48;2,00;1,00
2SemDragagem20302;49;34,00;30,00
2SemDragagem20302;50;11,00;11,00
2SemDragagem20302;51;18,00;17,00
2SemDragagem20302;52;19,00;21,00
2SemDragagem20302;53;17,00;18,00
2SemDragagem20302;54;19,00;18,00
2SemDragagem20302;55;22,00;18,00
2SemDragagem20302;56;17,00;21,00
2SemDragagem20302;57;22,00;21,00
2SemDragagem20302;58;16,00;17,00
2SemDragagem20302;59;14,00;19,00
2SemDragagem20302;60;14,00;14,00
2SemDragagem20302;61;26,00;20,00
2SemDragagem20302;62;13,00;16,00
2SemDragagem20302;63;12,00;14,00
2SemDragagem20302;64;24,00;22,00
2SemDragagem20302;65;17,00;21,00
2SemDragagem20302;66;20,00;17,00
2SemDragagem20302;67;18,00;14,00
2SemDragagem20302;68;16,00;17,00
2SemDragagem20302;69;20,00;18,00
2SemDragagem20302;70;18,00;22,00
2SemDragagem20302;71;16,00;19,00
2SemDragagem20302;72;15,00;16,00
2SemDragagem20302;73;18,00;18,00
2SemDragagem20302;74;27,00;21,00
2SemDragagem20302;75;18,00;17,00
2SemDragagem20302;76;20,00;20,00
2SemDragagem20302;77;15,00;18,00
2SemDragagem20302;78;20,00;19,00
2SemDragagem20302;79;18,00;20,00
2SemDragagem20302;80;17,00;17,00
2SemDragagem20302;81;22,00;17,00
2SemDragagem20302;82;20,00;20,00
2SemDragagem20302;83;15,00;18,00
2SemDragagem20302;84;20,00;22,00
2SemDragagem20302;85;19,00;22,00
2SemDragagem20302;86;12,00;12,00
2SemDragagem20302;87;21,00;19,00
2SemDragagem20302;88;24,00;22,00
2SemDragagem20302;89;23,00;19,00
2SemDragagem20302;90;17,00;18,00
