SCENARIO_ID;SEGMENT_ID;HOURS_0_VESSELS;HOURS_1_VESSEL;HOURS_2_VESSELS;HOURS_3_VESSELS;HOURS_4_VESSELS;HOURS_5_VESSELS;HOURS_5PLUS_VESSELS
2SemDragagem20302;1;1166.75;896.17;97.08;0.0;0.0;0.0;0.0
2SemDragagem20302;2;1871.92;282.5;5.58;0.0;0.0;0.0;0.0
2SemDragagem20302;3;1893.0;267.0;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;4;1832.67;327.33;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;5;1845.33;314.67;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;6;1727.67;386.0;46.33;0.0;0.0;0.0;0.0
2SemDragagem20302;7;1904.17;251.75;4.08;0.0;0.0;0.0;0.0
2SemDragagem20302;8;1932.17;226.58;1.25;0.0;0.0;0.0;0.0
2SemDragagem20302;9;1959.67;198.83;1.5;0.0;0.0;0.0;0.0
2SemDragagem20302;10;1944.75;215.25;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;11;1954.0;183.92;22.08;0.0;0.0;0.0;0.0
2SemDragagem20302;12;2007.67;152.33;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;13;1948.25;190.5;21.25;0.0;0.0;0.0;0.0
2SemDragagem20302;14;2025.0;135.0;0.0;0.0;0.0;0.0;0.0
2SemDragagem20302;15;2105.08;54.83;0.08;0.0;0.0;0.0;0.0
2SemDragagem20302;16;2091.08;68.17;0.75;0.0;0.0;0.0;0.0
2SemDragagem20302;17;2066.25;92.75;1.0;0.0;0.0;0.0;0.0
