SCENARIO_ID;N_VESSELS;MONTH;HOURS
2SemDragagem20302;0;2025-08;95.67
2SemDragagem20302;1;2025-08;164.0
2SemDragagem20302;2;2025-08;197.25
2SemDragagem20302;3;2025-08;139.25
2SemDragagem20302;4;2025-08;90.75
2SemDragagem20302;5;2025-08;38.67
2SemDragagem20302;5+;2025-08;18.42
2SemDragagem20302;0;2025-09;102.08
2SemDragagem20302;1;2025-09;185.67
2SemDragagem20302;2;2025-09;199.67
2SemDragagem20302;3;2025-09;122.17
2SemDragagem20302;4;2025-09;61.33
2SemDragagem20302;5;2025-09;29.67
2SemDragagem20302;5+;2025-09;19.42
2SemDragagem20302;0;2025-10;65.17
2SemDragagem20302;1;2025-10;175.17
2SemDragagem20302;2;2025-10;186.25
2SemDragagem20302;3;2025-10;155.83
2SemDragagem20302;4;2025-10;73.17
2SemDragagem20302;5;2025-10;26.83
2SemDragagem20302;5+;2025-10;13.58
