SCENARIO_ID;SEGMENT_ID;HOURS_0_VESSELS;HOURS_1_VESSEL;HOURS_2_VESSELS;HOURS_3_VESSELS;HOURS_4_VESSELS;HOURS_5_VESSELS;HOURS_5PLUS_VESSELS
2SemDragagem2035;1;1078.67;960.33;121.0;0.0;0.0;0.0;0.0
2SemDragagem2035;2;1843.58;311.17;5.25;0.0;0.0;0.0;0.0
2SemDragagem2035;3;1865.0;295.0;0.0;0.0;0.0;0.0;0.0
2SemDragagem2035;4;1805.83;354.17;0.0;0.0;0.0;0.0;0.0
2SemDragagem2035;5;1820.5;339.5;0.0;0.0;0.0;0.0;0.0
2SemDragagem2035;6;1695.17;423.08;41.75;0.0;0.0;0.0;0.0
2SemDragagem2035;7;1874.58;281.17;4.25;0.0;0.0;0.0;0.0
2SemDragagem2035;8;1902.83;255.42;1.75;0.0;0.0;0.0;0.0
2SemDragagem2035;9;1935.83;222.0;2.17;0.0;0.0;0.0;0.0
2SemDragagem2035;10;1915.83;244.17;0.0;0.0;0.0;0.0;0.0
2SemDragagem2035;11;1927.17;210.0;22.83;0.0;0.0;0.0;0.0
2SemDragagem2035;12;1829.0;306.5;24.5;0.0;0.0;0.0;0.0
2SemDragagem2035;13;1942.5;202.08;15.42;0.0;0.0;0.0;0.0
2SemDragagem2035;14;2027.0;133.0;0.0;0.0;0.0;0.0;0.0
2SemDragagem2035;15;2104.83;55.0;0.17;0.0;0.0;0.0;0.0
2SemDragagem2035;16;2091.75;67.83;0.42;0.0;0.0;0.0;0.0
2SemDragagem2035;17;2067.42;92.08;0.5;0.0;0.0;0.0;0.0
