ARRIVAL_ID;LOA;BEAM;DRAFT;BERTH;CATEGORY;DETAILED_CATEGORY;PROCESS_TIME
2;190.0;46.0;8.5;BERÇO AL 02;CARGO;DANGEROUS;900
8;190.0;46.0;9.0;BERÇO AL 02;CARGO;DANGEROUS;900
12;190.0;46.0;8.0;BERÇO AL 01;CARGO;DANGEROUS;900
77;210.0;46.0;9.5;BERÇO ARM 35P2;CARGO;N/A;900
163;220.0;46.0;11.5;BERÇO TECON 3;CARGO;N/A;900
167;280.0;46.0;13.0;BERÇO TECON 1.2;CARGO;N/A;900
192;260.0;46.0;10.0;BERÇO TECON 1.1;CARGO;N/A;900
205;270.0;46.0;10.0;BERÇO TECON 3;CARGO;N/A;900
212;210.0;46.0;10.0;BERÇO TECON 1.2;CARGO;N/A;900
224;200.0;46.0;8.5;BERÇO TEV;CARGO;RO-RO;900
254;190.0;46.0;9.5;BERÇO IB BC;CARGO;DANGEROUS;900
259;160.0;46.0;8.5;BERÇO Ageo I;CARGO;DANGEROUS;900
262;140.0;46.0;7.5;BERÇO IB SP;CARGO;DANGEROUS;900
265;120.0;46.0;8.5;BERÇO Ageo I;CARGO;DANGEROUS;900
271;190.0;46.0;7.5;BERÇO IB SP;CARGO;DANGEROUS;900
276;180.0;46.0;10.5;BERÇO TIPLAM 4;CARGO;N/A;900
278;230.0;46.0;7.5;BERÇO TIPLAM 3;CARGO;N/A;900
280;200.0;46.0;8.5;BERÇO TIPLAM 4;CARGO;N/A;900
301;170.0;46.0;9.0;BERÇO DOW;CARGO;N/A;900
303;170.0;46.0;9.0;BERÇO DOW;CARGO;N/A;900
305;90.0;46.0;6.5;BERÇO SAIPEM 2;CARGO;N/A;900
307;90.0;46.0;5.0;BERÇO SAIPEM 2;CARGO;N/A;900
318;90.0;46.0;6.5;BERÇO SAIPEM 1;CARGO;N/A;900
322;300.0;46.0;11.0;BERÇO DPW 1;CARGO;N/A;900
324;260.0;46.0;10.5;BERÇO DPW 1;CARGO;N/A;900
374;210.0;46.0;10.5;BERÇO DPW 4;CARGO;N/A;900
391;200.0;46.0;11.0;BERÇO ARM 35P1;CARGO;N/A;900
415;200.0;46.0;9.5;BERÇO CS 02;CARGO;N/A;900
420;180.0;46.0;8.5;BERÇO ARM 34;CARGO;N/A;900
422;200.0;46.0;9.0;BERÇO ARM 34;CARGO;N/A;900
424;190.0;46.0;11.5;BERÇO AL 04;CARGO;N/A;900
427;230.0;46.0;11.0;BERÇO AL 03;CARGO;N/A;900
429;160.0;46.0;9.0;BERÇO AL 04;CARGO;N/A;900
436;230.0;46.0;7.5;BERÇO ARM 20/21;CARGO;N/A;900
445;230.0;46.0;7.5;BERÇO ARM 37;CARGO;N/A;900
451;100.0;46.0;8.0;BERÇO VAL;CARGO;N/A;900
