ARRIVAL_ID;LOA;BEAM;DRAFT;BERTH;CATEGORY;DETAILED_CATEGORY;PROCESS_TIME
1;116.9;18.0;4.8;BERÇO Ageo I;CARGO;N/A;1241
2;304.16;40.0;11.0;BERÇO BTP 1;CARGO;N/A;504
3;164.34;23.0;7.8;BERÇO DOW;CARGO;N/A;1455
4;85.34;18.0;4.2;BERÇO SAIPEM 1;CARGO;N/A;4225
5;334.07;42.0;12.0;BERÇO TECON 1.2;CARGO;N/A;910
6;189.99;22.0;6.7;BERÇO ARM 20/21;CARGO;N/A;1710
7;299.9;45.0;11.8;BERÇO BTP 1;CARGO;N/A;1008
8;299.99;40.0;9.8;BERÇO DPW 1;CARGO;N/A;2245
9;156.53;25.0;8.7;BERÇO AL 02;CARGO;N/A;3034
11;75.2;17.0;4.5;BERÇO SAIPEM 2;CARGO;N/A;380
12;272.08;40.0;10.6;BERÇO TECON 3;CARGO;N/A;1139
13;182.47;25.0;8.2;BERÇO TECON 2;CARGO;N/A;1196
14;145.0;24.0;9.5;BERÇO IB SP;CARGO;N/A;2805
15;116.26;18.0;4.9;BERÇO VAL;CARGO;N/A;497
18;201.9;34.0;8.15;BERÇO DPW 3;CARGO;N/A;2892
19;201.8;32.0;8.0;BERÇO ARM 35P1;CARGO;N/A;4272
20;198.0;31.0;9.7;BERÇO CS 03;CARGO;N/A;8120
21;183.1;32.0;7.85;BERÇO AL 03;CARGO;N/A;1732
23;222.14;30.0;9.7;BERÇO TECON 1.2;CARGO;N/A;311
24;227.92;37.0;11.7;BERÇO TECON 3;CARGO;N/A;1451
26;170.0;26.0;7.55;BERÇO CUTRALE;CARGO;N/A;3364
