SCENARIO_ID;DAY;ENTER;EXIT
11032026_CPLEX_2SemDragagem2030;1;19,00;0,00
11032026_CPLEX_2SemDragagem2030;2;15,00;4,00
11032026_CPLEX_2SemDragagem2030;3;6,00;8,00
11032026_CPLEX_2SemDragagem2030;4;23,00;12,00
11032026_CPLEX_2SemDragagem2030;5;20,00;13,00
11032026_CPLEX_2SemDragagem2030;6;19,00;21,00
11032026_CPLEX_2SemDragagem2030;7;19,00;18,00
11032026_CPLEX_2SemDragagem2030;8;14,00;21,00
11032026_CPLEX_2SemDragagem2030;9;21,00;14,00
11032026_CPLEX_2SemDragagem2030;10;18,00;22,00
11032026_CPLEX_2SemDragagem2030;11;18,00;17,00
11032026_CPLEX_2SemDragagem2030;12;24,00;19,00
11032026_CPLEX_2SemDragagem2030;13;17,00;21,00
11032026_CPLEX_2SemDragagem2030;14;17,00;18,00
11032026_CPLEX_2SemDragagem2030;15;21,00;20,00
11032026_CPLEX_2SemDragagem2030;16;18,00;22,00
11032026_CPLEX_2SemDragagem2030;17;17,00;14,00
11032026_CPLEX_2SemDragagem2030;18;17,00;15,00
11032026_CPLEX_2SemDragagem2030;19;15,00;19,00
11032026_CPLEX_2SemDragagem2030;20;17,00;15,00
11032026_CPLEX_2SemDragagem2030;21;24,00;21,00
11032026_CPLEX_2SemDragagem2030;22;23,00;22,00
11032026_CPLEX_2SemDragagem2030;23;16,00;18,00
11032026_CPLEX_2SemDragagem2030;24;20,00;22,00
11032026_CPLEX_2SemDragagem2030;25;17,00;17,00
11032026_CPLEX_2SemDragagem2030;26;22,00;25,00
11032026_CPLEX_2SemDragagem2030;27;20,00;19,00
11032026_CPLEX_2SemDragagem2030;28;18,00;19,00
11032026_CPLEX_2SemDragagem2030;29;21,00;18,00
11032026_CPLEX_2SemDragagem2030;30;18,00;18,00
