VESSEL_BEAM;VESSEL_LOA;VESSEL_DRAFT;VESSEL_EXIT_DRAFT;DIRECTION;ARRIVAL_HOUR;ARRIVAL_MINUTE;ARRIVAL_WEEKDAY;ARRIVAL_WEEKDAY_NUM;ARRIVAL_DAY;DANGEROUS_FLAG;PASSENGER_FLAG;RORO_FLAG;TONNAGE;SERVICE_DURATION;WAIT_FOR_SERVICE;WAIT_FOR_UNDOCK;ARRIVAL_MONTH;ARRIVAL_MONTH_NUM;TERMINAL;TERMINAL_ID;VESSEL_SIZE_CATEGORY;VESSEL_MARKET_CATEGORY;ARRIVAL_ID;DEMAND_SCENARIO
23.0;175.0;9.75;0.0;2.0;10;25;WED;2;1;False;False;False;35000;64.43;0.34;0.75;JAN;1;AGEO_TERMINAIS;11;MRMEDIUMRANGE;GL;1;D203015_newpanamax
23.0;225.0;0.0;13.25;1.0;9;31;WED;2;1;False;False;False;70000;54.03;0.92;0.75;JAN;1;CUTRALE - GSA - E;19;PANAMAX;GSA - E;2;D203015_newpanamax
23.0;265.0;10.75;10.75;3.0;9;25;WED;2;1;False;False;False;3000;17.86;1.55;0.75;JAN;1;DPW - CGC;21;PANAMAX;CGC;3;D203015_newpanamax
43.0;339.0;14.0;14.0;3.0;8;23;WED;2;1;False;False;False;6000;27.82;2.02;0.75;JAN;1;DPW - CGC;21;POST-PANAMAXII;CGC;4;D203015_newpanamax
23.0;185.0;9.75;9.75;3.0;9;25;WED;2;1;False;False;False;1000;16.8;5.07;0.75;JAN;1;SANTOSBR;31;FULLYCELLULAR;CGC;5;D203015_newpanamax
23.0;275.0;10.75;10.75;3.0;9;25;WED;2;1;False;False;False;3000;15.61;4.62;0.75;JAN;1;SANTOSBR;31;PANAMAX;CGC;6;D203015_newpanamax
23.0;245.0;10.75;10.75;3.0;7;20;WED;2;1;False;False;False;3000;15.61;5.12;0.75;JAN;1;SANTOSBR;31;PANAMAX;CGC;7;D203015_newpanamax
23.0;295.0;12.25;12.25;3.0;7;21;WED;2;1;False;False;False;4000;21.3;2.77;0.75;JAN;1;SANTOSBR;31;POST-PANAMAXI;CGC;8;D203015_newpanamax
43.0;339.0;14.0;14.0;3.0;8;22;WED;2;1;False;False;False;6000;25.92;2.02;0.75;JAN;1;SANTOSBR;31;POST-PANAMAXII;CGC;9;D203015_newpanamax
23.0;225.0;9.25;0.0;2.0;11;29;WED;2;1;False;False;False;70000;104.45;1.25;0.75;JAN;1;TIPLAM - GSM - I;42;PANAMAX;GSM - I;10;D203015_newpanamax
23.0;185.0;0.0;9.25;1.0;10;26;WED;2;1;False;False;False;35000;29.94;10.23;0.75;JAN;1;TRANSPETRO;43;MRMEDIUMRANGE;GL;11;D203015_newpanamax
18.0;85.34;4.2;5.5;1.0;18;5;0;2;1;False;False;False;0;70.42;0.08;0.75;0;1;TUP - Saipem;8;HANDYSIZE;CGNC;12;D203015_newpanamax
23.0;305.0;12.25;12.25;3.0;8;25;THU;3;2;False;False;False;4000;20.66;2.01;0.75;JAN;1;BTP;13;POST-PANAMAXI;CGC;13;D203015_newpanamax
23.0;185.0;10.25;10.25;3.0;12;34;THU;3;2;False;False;False;1000;13.38;1.36;0.75;JAN;1;DPW - CGC;21;FULLYCELLULAR;CGC;14;D203015_newpanamax
36.0;225.0;0.0;13.0;1.0;13;38;THU;3;2;False;False;False;55000;64.0;1.29;0.75;JAN;1;DPW - CGNC;22;NAVIOCARGAGERAL;CGNC;15;D203015_newpanamax
23.0;215.0;9.75;9.75;3.0;12;33;THU;3;2;False;False;False;1000;16.8;2.01;0.75;JAN;1;SANTOSBR;31;FULLYCELLULAR;CGC;16;D203015_newpanamax
23.0;295.0;12.75;12.75;3.0;13;36;THU;3;2;False;False;False;4000;21.3;1.07;0.75;JAN;1;SANTOSBR;31;POST-PANAMAXI;CGC;17;D203015_newpanamax
23.0;195.0;11.75;0.0;2.0;5;23;THU;3;2;False;False;False;45000;89.37;3.89;0.75;JAN;1;TERMAG;35;HANDYMAX;GSM - I;18;D203015_newpanamax
23.0;175.0;0.0;9.75;1.0;13;32;THU;3;2;False;False;False;35000;29.94;7.26;0.75;JAN;1;TRANSPETRO;43;MRMEDIUMRANGE;GL;19;D203015_newpanamax
44.0;323.0;8.6;8.6;3.0;7;0;0;3;2;False;True;False;0;10.67;0.0;0.75;0;1;Concais;6;PASSAGEIROS;PASSAGEIROS;20;D203015_newpanamax
17.0;75.2;4.5;5.0;1.0;10;30;0;3;2;False;False;False;0;6.33;0.17;0.75;0;1;TUP - Saipem;8;HANDYSIZE;CGNC;21;D203015_newpanamax
23.0;155.0;9.25;0.0;2.0;16;45;FRI;4;3;False;False;False;18000;45.88;0.66;0.75;JAN;1;AGEO_TERMINAIS;11;GPGENERALPURPOSE;GL;22;D203015_newpanamax
23.0;175.0;10.75;0.0;2.0;16;45;FRI;4;3;False;False;False;35000;64.43;0.76;0.75;JAN;1;AGEO_TERMINAIS;11;MRMEDIUMRANGE;GL;23;D203015_newpanamax
23.0;295.0;13.75;13.75;3.0;14;40;FRI;4;3;False;False;False;4000;20.66;2.61;0.75;JAN;1;BTP;13;POST-PANAMAXI;CGC;24;D203015_newpanamax
23.0;205.0;10.75;10.75;3.0;16;45;FRI;4;3;False;False;False;1000;13.38;1.41;0.75;JAN;1;DPW - CGC;21;FULLYCELLULAR;CGC;25;D203015_newpanamax
