ARRIVAL_ID;ROUTE_ID;START_TIME;END_TIME;FORWARD
1;0;360;360;1
1;1;450;475;1
1;2;475;480;1
1;3;480;485;1
1;4;485;490;1
1;5;490;495;1
1;6;495;500;1
1;7;500;505;1
1;8;505;510;1
1;9;510;515;1
1;10;515;520;1
1;11;520;525;1
1;12;525;535;1
1;66;535;585;1
2;0;660;660;1
2;1;645;670;1
2;2;670;675;1
2;3;675;680;1
2;4;680;685;1
2;5;685;690;1
2;6;690;695;1
2;7;695;700;1
2;8;700;705;1
2;9;705;710;1
2;10;710;715;1
2;11;715;720;1
2;12;720;730;1
2;65;730;760;1
4;0;600;600;1
4;1;585;610;1
4;2;610;615;1
4;3;615;620;1
4;4;620;625;1
4;5;625;630;1
4;6;630;635;1
4;7;635;640;1
4;8;640;645;1
4;9;645;650;1
4;10;650;655;1
4;11;655;660;1
4;12;660;670;1
4;64;670;700;1
